timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T16:01:15.544221,text_search,2,AIzaSy...8yB0,454,Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:01:18.473307,text_search,2,AIzaSy...8yB0,455,Toa Payoh,Bidadari,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bidadari, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:01:21.512962,text_search,2,AIzaSy...8yB0,456,Toa Payoh,Bidadari,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Bidadari, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:01:24.360875,text_search,2,AIzaSy...8yB0,457,Toa Payoh,Bidadari,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Bidadari, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:01:27.410055,text_search,2,AIzaSy...8yB0,458,Toa Payoh,Bidadari,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Bidadari, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:01:30.206157,text_search,2,AIzaSy...8yB0,459,Toa Payoh,Bidadari,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Bidadari, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:01:33.216561,text_search,2,AIzaSy...8yB0,460,Toa Payoh,Boon Teck,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Boon Teck, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:01:36.043458,text_search,2,AIzaSy...8yB0,461,Toa Payoh,Boon Teck,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Boon Teck, Toa Payoh, Singapore",OK,,13,
2026-07-20T16:01:38.943504,text_search,2,AIzaSy...8yB0,462,Toa Payoh,Boon Teck,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Boon Teck, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:01:41.510114,text_search,2,AIzaSy...8yB0,463,Toa Payoh,Boon Teck,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Boon Teck, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:01:44.419992,text_search,2,AIzaSy...8yB0,464,Toa Payoh,Boon Teck,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Boon Teck, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:01:46.962180,text_search,2,AIzaSy...8yB0,465,Toa Payoh,Boon Teck,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Boon Teck, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:01:49.719125,text_search,2,AIzaSy...8yB0,466,Toa Payoh,Braddell,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Braddell, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:01:52.477806,text_search,2,AIzaSy...8yB0,467,Toa Payoh,Braddell,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Braddell, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:01:55.545465,text_search,2,AIzaSy...8yB0,468,Toa Payoh,Braddell,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Braddell, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:01:58.210736,text_search,2,AIzaSy...8yB0,469,Toa Payoh,Braddell,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Braddell, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:02:00.898382,text_search,2,AIzaSy...8yB0,470,Toa Payoh,Braddell,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Braddell, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:02:03.436304,text_search,2,AIzaSy...8yB0,471,Toa Payoh,Braddell,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Braddell, Toa Payoh, Singapore",OK,,20,
2026-07-20T16:02:06.279755,text_search,2,AIzaSy...8yB0,472,Toa Payoh,Joo Seng,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Joo Seng, Toa Payoh, Singapore",OK,,20,
