planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJGbXa90oX2jERGo0MxQ8gv94,Laurel Academy - Toa Payoh,"4 Lor 7 Toa Payoh, #01-125, Singapore 310004",5.0,3,"[""establishment"", ""point_of_interest""]",1.3391094,103.8558209,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJx-7QmZYX2jERht7ofTYcNs0,Toa Payoh Library,"6 Toa Payoh Central, Singapore 319191",4.4,421,"[""establishment"", ""library"", ""point_of_interest""]",1.3335425,103.8505068,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJtytWhSYX2jERE5pYBPyYhAA,Mulberry Learning @ Braddell,"1 Lor 2 Toa Payoh, #01-02/03/04, Singapore 319637",4.7,76,"[""establishment"", ""point_of_interest"", ""school""]",1.3402113,103.8474403,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJ-36ABxMX2jERMYCOC3BRYpM,Tzu Chi Great Love Preschool (Toa Payoh) 慈济大爱幼教中心 (大巴窑),"200 Lor 2 Toa Payoh, #01-04 West Community Club, Singapore 319642",4.6,11,"[""establishment"", ""point_of_interest"", ""school""]",1.3354762,103.8450411,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJA-c4GZEX2jERuJQvDyXKDRk,Emile Preschool @ Toa Payoh,"622 Lor 1 Toa Payoh, #02-02, Singapore 319763",4.9,84,"[""establishment"", ""point_of_interest"", ""school""]",1.3346551,103.8424708,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJZxNbIDgX2jER292DWXHnK08,MindChamps MindSpace @ Toa Payoh Central | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,"192 Lor 4 Toa Payoh, #02-674, Singapore 310192",4.9,83,"[""establishment"", ""point_of_interest""]",1.3317147,103.8505192,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJVSHTTLUX2jERDqCOZ6RyftI,PlayFACTO School @ Toa Payoh Central,"600 Lor 4 Toa Payoh, #02-01/02, Singapore 319515",5.0,25,"[""establishment"", ""point_of_interest""]",1.334008,103.8510202,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJEbRtgmsX2jEROZwxed92FcA,MapleBear Toa Payoh,"978 Toa Payoh N, #01-01, Singapore 319001",4.6,33,"[""establishment"", ""point_of_interest"", ""school""]",1.3430656,103.8513136,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJC9d3bncX2jERkD7iWLg8fuI,Nest Preschool Bidadari,"22 Lichi Ave, Singapore 348796",5.0,11,"[""establishment"", ""point_of_interest"", ""school""]",1.3328883,103.8760564,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJj4Uge8MX2jERNd_G0h3Ei8k,EduFirst Learning Centre (Toa Payoh) | Tuition & Student Care Centre,"93 Toa Payoh Central, #01-04, Singapore 319194",4.8,68,"[""establishment"", ""point_of_interest""]",1.3348943,103.8504325,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJJSws3WYX2jER_a1DZ0XQsM8,MindChamps PreSchool @ Toa Payoh,"190 Lor 6 Toa Payoh, #03-512, Singapore 310190",4.9,461,"[""establishment"", ""point_of_interest"", ""school""]",1.3329621,103.8486223,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJ4dRYnJgX2jERfzJQGlRk31Q,Skool4Kidz Preschool @ Woodleigh Hillside,"213C Bidadari Park Dr, #01-609, Singapore 363213",4.4,37,"[""establishment"", ""point_of_interest"", ""school""]",1.3431557,103.8745596,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJo4ymvm8X2jERgVtmF7m_usQ,PlayFACTO School @ Toa Payoh Lorong 7,"17A Lor 7 Toa Payoh, #02-192 Kim Keat Palm, Singapore 311017",4.4,18,"[""establishment"", ""point_of_interest""]",1.3357696,103.8571532,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJF2rMTmQX2jER5wkZ3F22xDE,Red SchoolHouse Woodleigh,"48 Woodleigh Prk, #B1-01, Singapore 357844",4.4,17,"[""establishment"", ""point_of_interest"", ""school""]",1.3424382,103.8677276,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJp6nKNKYQ2jERnYPT8JlnkMI,Sunflower Baby House & Preschool,"600 Lor 4 Toa Payoh, 600 @, #02-03, Singapore 319515",5.0,22,"[""establishment"", ""point_of_interest"", ""school""]",1.3340559,103.8509809,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJDQjM7FgZ2jERsbSsP0PYpvQ,MindChamps Reading @ Toa Payoh,"Blk 190 Lor 6 Toa Payoh, #03-512, Singapore 310190",4.8,80,"[""establishment"", ""point_of_interest""]",1.3329648,103.8486276,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJHRdFYV4X2jEROX6tTbX7Mxk,The Kidz Club (Toa Payoh Student Care Centre),"172A Lor 1 Toa Payoh, #01-1170, Singapore 311172",5.0,10,"[""establishment"", ""point_of_interest""]",1.3302945,103.842459,True
Toa Payoh,Bidadari,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bidadari, Toa Payoh, Singapore",ChIJ4069HdUX2jERrN7_5dQ-MNY,Mind Sparks Toa Payoh | Student Care by Mind Stretcher,"500 Lor 6 Toa Payoh, #04-31, Singapore 310500",4.9,18,"[""establishment"", ""point_of_interest""]",1.333005,103.847064,True
