planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Tuas,Tengeh,education,18,4.586,2866,91.72
Tuas,Tengeh,transport,6,4.15,1112,83.0
Tuas,Tengeh,food,7,4.129,2980,82.58
Tuas,Tengeh,shopping,8,4.037,16457,80.74
Tuas,Tengeh,recreation,12,4.45,9488,89.0
Tuas,Tengeh,nature,12,4.433,45357,88.66
Tuas,Tuas Bay,education,18,4.556,4457,91.12
Tuas,Tuas Bay,transport,4,4.25,892,85.0
Tuas,Tuas Bay,food,6,4.2,2670,84.0
Tuas,Tuas Bay,shopping,9,3.956,25103,79.12
Tuas,Tuas Bay,recreation,8,4.1,9835,82.0
Tuas,Tuas Bay,nature,12,4.318,168765,86.36
Tuas,Tuas North,education,17,4.52,3471,90.4
Tuas,Tuas North,transport,4,4.25,892,85.0
Tuas,Tuas North,food,7,4.186,2970,83.72
Tuas,Tuas North,shopping,9,3.722,3860,74.44
Tuas,Tuas North,recreation,10,4.444,10030,88.88
Tuas,Tuas North,nature,11,4.382,10235,87.64
Tuas,Tuas Promenade,education,18,4.58,6202,91.6
Tuas,Tuas Promenade,transport,4,4.25,892,85.0
Tuas,Tuas Promenade,food,8,4.062,8204,81.24
Tuas,Tuas Promenade,shopping,7,4.029,24881,80.58
Tuas,Tuas Promenade,recreation,9,4.367,9786,87.34
Tuas,Tuas Promenade,nature,11,4.56,5597,91.2
Tuas,Tuas View,education,15,4.527,5175,90.54
Tuas,Tuas View,transport,5,4.26,895,85.2
Tuas,Tuas View,food,7,4.186,2970,83.72
Tuas,Tuas View,shopping,8,4.312,27893,86.24
Tuas,Tuas View,recreation,9,4.244,6680,84.88
Tuas,Tuas View,nature,10,4.256,16644,85.12
Tuas,Tuas View Extension,education,16,4.515,5093,90.3
Tuas,Tuas View Extension,transport,4,4.25,892,85.0
Tuas,Tuas View Extension,food,7,4.171,3057,83.42
Tuas,Tuas View Extension,shopping,8,3.862,5932,77.24
Tuas,Tuas View Extension,recreation,9,4.367,6895,87.34
Tuas,Tuas View Extension,nature,9,4.3,11040,86.0
