planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Tuas,Tengeh,education,70,4.671,9,1,0,1,5,0,8,1,4,0,1,0,"I would like express my heartfelt gratitude and special thanks to the teachers and principal of Star Learners Jurong West. Kudos to the teachers who have constantly updated us on t... || We are incredibly grateful to the team at Star Learners Jurong West for their exceptional dedication, warmth, and professionalism. The staffs consistently go above and beyond to cr... || We’ve had such a positive experience with Star Learners @ Jurong West. The teachers and Principal Kat are warm, attentive, and clearly passionate about the children’s well-being. M...",8,-1,5,7,4,1
Tuas,Tengeh,transport,30,4.033,2,0,1,2,6,0,0,0,2,0,0,0,"I Went To Tuas Link MRT Station Because I Want To Take A Short Walk To Tuas. This Is My First Visit To Tuas Because I Never Going To Tuas. I Was Get Off In This Station, And Took T... || It was the last MRT station at the west and Malaysia and Singapore border. Near to the checkpoint and one of the busiest locations. Raffle marina lighthouse is located near the MRT... || The last station in the extreme west side of the east west green mrt line. There are not much facilities here except for a bus stop that takes you to Malaysia via the Tuas 2nd link...",2,-1,6,0,2,0
Tuas,Tengeh,food,35,4.343,3,1,2,1,2,0,0,0,2,0,6,1,"On Friday 5 June 2026, I had boneless chicken drumstick nasi lemak from Hup Lee Bee Hoon/Nasi Lemak for my lunch at Tuas Village at the junction of Tuas Avenue 3 and Tuas Drive 1 a... || Just completed renovation, canteen look spacious and new with some new stalls. Sadly the ba ku teh and the malay food decide not to reopen. There is one new stall taiwan ichiban lo... || It was a big and renevated now as new and very clean good atmosphere all food varaities available here Indian, Chinese and malay food all available parking also free for Bike and c...",2,1,2,0,2,5
Tuas,Tengeh,shopping,39,3.769,0,0,2,1,3,0,0,0,3,0,7,2,"A nice and modern mall conveniently located at the Jurong East transportation hub, with sheltered walkways linking it to two other popular malls in the area. The mall is spacious, ... || Mall is around 10 years old located in Jurong east central and beside the MRT station. Good shopper traffic, more home goods, Fnb and lifestyle/services shops such as Nittori, Drea... || Great place for casual shopping. Good spread of food. Easy connection to the jurong east train station.",0,1,3,0,3,5
Tuas,Tengeh,recreation,49,4.286,6,1,1,2,16,1,1,0,6,0,8,0,"Amazing staff here, they helped with all my queries and application to the gym! Equipments are new and great. Would highly recommend this gym for your next workout! || The newly opened gym at Parc Point in Tengah. The facility looks modern and well equipped, with a good range of cardio machines, strength equipment, and free weights. The space is ... || 4 squat racks, nice vibe, helpful, friendly and attentive staff!",5,-1,15,1,6,8
Tuas,Tengeh,nature,51,4.588,32,0,3,5,11,1,0,0,8,0,0,3,"Love this newly renovated Jurong Eco-Garden Park. The greenery is lush and well-maintained, with a beautiful man-made lake that adds to the peaceful atmosphere. The best time to vi... || Very nice garden/park! Good for casual running. Has fitness equipment and playgrounds. Has a water cooler. There are toilets and an additional toilet for individuals with limited a... || A park just opposite my house, via a bridge over PIE. Quiet as little people, you can hear the birds chipping as you walk along. Playground for children, toilet available. Visit th...",32,-2,10,0,8,-3
Tuas,Tuas Bay,education,51,4.647,4,0,2,0,6,1,4,0,3,1,4,0,"⭐⭐⭐⭐⭐ My child enjoys coming to class very much and really likes the teachers and the environment here. The teachers are professional, caring, and patient, which makes learning enj... || Classes are engaging and interactive, and my child loves attending. The teachers are professional, and I feel very assured sending my child here. A great after-school option. 👍👍👍 || We are very pleased with this centre. Our child settled in quickly and enjoys the lessons a lot. The teachers are warm, attentive, and highly professional. The environment is comfo...",4,2,5,4,2,4
Tuas,Tuas Bay,transport,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Tuas,Tuas Bay,food,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Tuas,Tuas Bay,shopping,25,4.2,0,0,1,1,0,0,0,0,6,0,3,0,"Jurong Point has really evolved into one of the largest and most comprehensive suburban malls in Singapore over the years. The mall keeps expanding and now offers an impressive var... || Jurong Point is one of the more convenient suburban malls in Singapore with a huge variety of shops, supermarkets, restaurants and daily necessities all under one roof. The mall is... || As one of Singapore’s largest suburban malls, Jurong Point serves as a massive retail and lifestyle hub for the West. It’s famous for its immersive themed precincts and endless foo...",0,0,0,0,6,3
Tuas,Tuas Bay,recreation,14,3.429,0,0,0,1,1,1,0,2,0,0,0,0,"Not bad But not also good Medium || Prayer Mosque on second Floor...but Get Wazu from your place before going here for Prayer || This dormitory infrastructure has gone very dangerous and expired, if you look at a picture you will see that iron has supported with pipes in many places, and iron has broken down...",0,-1,0,-2,0,0
Tuas,Tuas Bay,nature,27,4.519,19,0,2,1,4,0,0,0,2,0,0,0,$2 per hour || Near check point || Such a wonderful experience 🥰🥰💕,19,1,4,0,2,0
Tuas,Tuas North,education,41,4.512,12,2,1,5,3,0,4,0,3,1,2,3,"Our family has been part of the Clementi Woods Kindergarten (CWK) community for several years, and we couldn’t be more grateful for the experience. From day one, CWK has felt like ... || A fairly good kindergarten with kind and helpful staff. The admin team is really good and accommodating. However, the start of each day at CWK is overstimulating for a preschooler ... || This is the best kindergarten you can send your child to. All my four children attend this kindergarten. It is not expensive. They have a holistic program that expose your child to...",10,-4,3,4,2,-1
Tuas,Tuas North,transport,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Tuas,Tuas North,food,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Tuas,Tuas North,shopping,15,3.267,1,0,2,1,2,0,1,1,1,0,2,0,"Since moving back to the west from the east, Sheng Siong has become one of my usual supermarkets that I frequently get my groceries from. The supermarket is spacious with a wide va... || Cashiers are fast and friendly. Will remind customers if they are Chas or Pioneer on the designated days. The 2 storey Sheng Siong is 24 hours. Appreciate the long operating hours.... || Efficient, tidy, with enormous range of food, groceries, household appliances and sanitary products that you might not find in normal grocery stores. The clean and well lit enterpr...",1,1,2,0,1,2
Tuas,Tuas North,recreation,15,4.733,1,0,2,3,2,0,1,0,0,0,0,0,"I've been training with Theo at Level Up Gym in One-North for more than a month now, and it's been a really good experience. The gym is clean, well-equipped, and never too crowded—... || While is Singapore, Lloyd was my PT & he transformed the way I looked after my body & increased my confidence in using weights. Lloyd’s expertise, attention to detail, tailored pro... || I began my fitness journey with Coach Matthias at Level Up Gym in January 2026, and it has been an incredible experience. His patience, expertise, and attention to detail - especia...",1,-1,2,1,0,0
