planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Tuas,Tengeh,education,kindergarten,"kindergarten in Tengeh, Tuas, Singapore",ChIJN90Nj7wP2jERgN1VjjEZc5M,Star Learners @ Jurong West | Preschool & Childcare,"862 Jurong West Street 81, Block 862, Singapore 640862",4.9,44,"[""establishment"", ""point_of_interest"", ""school""]",1.350194,103.6968389,True
Tuas,Tengeh,education,kindergarten,"kindergarten in Tengeh, Tuas, Singapore",ChIJzVHfqPoR2jERQxYAxlE584o,Skool4Kidz Preschool @ Tengah Garden Vale,"Blk 230A Tengah Dr, #01-461, Singapore 691230",5.0,12,"[""establishment"", ""point_of_interest"", ""school""]",1.3599611,103.7326881,True
Tuas,Tengeh,education,childcare centre,"childcare centre in Tengeh, Tuas, Singapore",ChIJ2eGKpRIP2jERRXtIJGSDs3M,My Talent Childcare Centre Pte Ltd,"Blk 153 Yung Ho Rd, #01-41, Singapore 610153",5.0,34,"[""establishment"", ""point_of_interest"", ""school""]",1.3274972,103.7210882,True
Tuas,Tengeh,education,childcare centre,"childcare centre in Tengeh, Tuas, Singapore",ChIJ8d5LMt8P2jERjSEgSRq9JE8,Little Talent Childcare Centre Pte. Ltd.,"420 Jurong West Street 42, #01-1013, Singapore 640420",5.0,16,"[""establishment"", ""point_of_interest""]",1.3506441,103.726966,True
Tuas,Tengeh,education,primary school,"primary school in Tengeh, Tuas, Singapore",ChIJNfn2jZwP2jERnKZlZ5yCUWc,Pioneer Primary School,"80 Tengah Garden Ave, Singapore 699915",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3545526,103.7322664,True
Tuas,Tengeh,education,primary school,"primary school in Tengeh, Tuas, Singapore",ChIJubizZRcQ2jERZIeyb0momvE,Yuhua Primary School,"158 Jurong East St 24, Singapore 609558",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3429774,103.7409109,True
Tuas,Tengeh,education,secondary school,"secondary school in Tengeh, Tuas, Singapore",ChIJsyTJCRcQ2jERfwQiMdnbBFE,Crest Secondary School,"561 Jurong East St 24, Singapore 609561",,0,"[""establishment"", ""point_of_interest"", ""school"", ""secondary_school""]",1.3431881,103.7428957,True
Tuas,Tengeh,education,secondary school,"secondary school in Tengeh, Tuas, Singapore",ChIJ5df3mjwb2jER9xmMRPwpHxY,Grace Orchard School,"170 W Coast Rd, Singapore 127443",,0,"[""establishment"", ""point_of_interest"", ""school"", ""secondary_school""]",1.3066054,103.7645671,True
Tuas,Tengeh,education,junior college,"junior college in Tengeh, Tuas, Singapore",ChIJz_-CGpUR2jERsxAVVh_vnoY,Jurong Pioneer Junior College,"21 Teck Whye Walk, Singapore 688258",3.8,86,"[""establishment"", ""point_of_interest"", ""university""]",1.3847446,103.753857,True
Tuas,Tengeh,education,junior college,"junior college in Tengeh, Tuas, Singapore",ChIJESRAQ1sa2jERlSmmrDCCriw,Anglo-Chinese Junior College,"25 Dover Cl E, Singapore 139745",4.0,119,"[""establishment"", ""point_of_interest"", ""school"", ""university""]",1.3031354,103.785109,True
Tuas,Tengeh,education,polytechnic,"polytechnic in Tengeh, Tuas, Singapore",ChIJb2t9OOwP2jERvgjlTHVoDbY,Sembcorp Tengeh Floating Solar Farm,"500 Jln. Ahmad Ibrahim, Singapura 639935",4.7,22,"[""establishment"", ""point_of_interest""]",1.3483964,103.6378902,True
Tuas,Tengeh,education,polytechnic,"polytechnic in Tengeh, Tuas, Singapore",ChIJFXzxL2Aa2jERnoWTOdJdVKk,Singapore Polytechnic,"500 Dover Rd, Singapore 139651",4.3,646,"[""establishment"", ""point_of_interest""]",1.3097757,103.7775495,True
Tuas,Tengeh,education,university,"university in Tengeh, Tuas, Singapore",ChIJY0QBmQoP2jERGYItxQAIu7g,Nanyang Technological University,"50 Nanyang Ave, Singapore 639798",4.5,1477,"[""establishment"", ""point_of_interest"", ""university""]",1.3483099,103.6831347,True
Tuas,Tengeh,education,university,"university in Tengeh, Tuas, Singapore",ChIJYZ7ZKaEa2jERUxA5Jfd3l0Y,Technical University of Munich Asia,"Academic Building North, 61 Nanyang Drive, ABN-B2a-08, Singapore 637335",4.7,25,"[""establishment"", ""point_of_interest"", ""university""]",1.3466268,103.6820491,True
Tuas,Tengeh,education,tuition centre,"tuition centre in Tengeh, Tuas, Singapore",ChIJxVpRXY0b2jERLaTEQpzXKf0,Pillora Learning,"729 Clementi West Street 2, Singapore 120729",5.0,5,"[""establishment"", ""point_of_interest""]",1.3050998,103.763368,True
Tuas,Tengeh,education,tuition centre,"tuition centre in Tengeh, Tuas, Singapore",ChIJFZIEu6Ma2jERvLsDl_vT6WI,TLC Learning Centre,"150 Pandan Gardens, Ayer Rajah Community Club, #01-03, Singapore 609335",4.8,106,"[""establishment"", ""point_of_interest""]",1.3206884,103.7476017,True
Tuas,Tengeh,education,library,"library in Tengeh, Tuas, Singapore",ChIJfWE7NwAR2jERE_LL5Mx2EVM,Community Library,"219A Tengah Garden Walk, Singapore 691219",4.2,5,"[""establishment"", ""library"", ""point_of_interest""]",1.3593829,103.7307429,True
Tuas,Tengeh,education,library,"library in Tengeh, Tuas, Singapore",ChIJF3XNQ5MP2jERXeUO2D_OtYY,Jurong West Library,"60 Jurong West Central 3, #01-03, Singapore 648346",4.3,269,"[""establishment"", ""library"", ""point_of_interest""]",1.3403486,103.7045246,True
