timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T16:05:14.007841,text_search,2,AIzaSy...8yB0,541,Western Islands,Jurong Island And Bukom,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Jurong Island And Bukom, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:17.353296,text_search,2,AIzaSy...8yB0,542,Western Islands,Jurong Island And Bukom,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Jurong Island And Bukom, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:20.907682,text_search,2,AIzaSy...8yB0,543,Western Islands,Jurong Island And Bukom,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Jurong Island And Bukom, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:24.198952,text_search,2,AIzaSy...8yB0,544,Western Islands,Jurong Island And Bukom,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Jurong Island And Bukom, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:27.353252,text_search,2,AIzaSy...8yB0,545,Western Islands,Jurong Island And Bukom,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Jurong Island And Bukom, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:30.500142,text_search,2,AIzaSy...8yB0,546,Western Islands,Jurong Island And Bukom,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Jurong Island And Bukom, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:33.489222,text_search,2,AIzaSy...8yB0,547,Western Islands,Semakau,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Semakau, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:36.691558,text_search,2,AIzaSy...8yB0,548,Western Islands,Semakau,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Semakau, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:39.936983,text_search,2,AIzaSy...8yB0,549,Western Islands,Semakau,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Semakau, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:42.627370,text_search,2,AIzaSy...8yB0,550,Western Islands,Semakau,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Semakau, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:45.364341,text_search,2,AIzaSy...8yB0,551,Western Islands,Semakau,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Semakau, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:48.015569,text_search,2,AIzaSy...8yB0,552,Western Islands,Semakau,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Semakau, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:51.363469,text_search,2,AIzaSy...8yB0,553,Western Islands,Sudong,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Sudong, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:53.884620,text_search,2,AIzaSy...8yB0,554,Western Islands,Sudong,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Sudong, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:56.352492,text_search,2,AIzaSy...8yB0,555,Western Islands,Sudong,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Sudong, Western Islands, Singapore",OK,,20,
2026-07-20T16:05:59.309087,text_search,2,AIzaSy...8yB0,556,Western Islands,Sudong,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Sudong, Western Islands, Singapore",OK,,20,
2026-07-20T16:06:02.049385,text_search,2,AIzaSy...8yB0,557,Western Islands,Sudong,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Sudong, Western Islands, Singapore",OK,,20,
2026-07-20T16:06:05.176284,text_search,2,AIzaSy...8yB0,558,Western Islands,Sudong,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Sudong, Western Islands, Singapore",OK,,20,
2026-07-20T16:06:05.197126,place_details_reviews,2,AIzaSy...8yB0,558,Western Islands,Semakau,education,education facilities schools childcare libraries,ChIJ-cuboDAa2jERf6hKqh96UC0,OK,,5,Queenstown Library
2026-07-20T16:06:05.197330,place_details_reviews,2,AIzaSy...8yB0,558,Western Islands,Semakau,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,OK,,5,Lau Pa Sat
2026-07-20T16:06:05.197578,place_details_reviews,2,AIzaSy...8yB0,558,Western Islands,Semakau,recreation,recreation sports gyms swimming community clubs,ChIJ8yMt54sQ2jERjBRZb9swlqY,OK,,5,Temasek Club
2026-07-20T16:06:05.197836,place_details_reviews,2,AIzaSy...8yB0,558,Western Islands,Jurong Island And Bukom,education,education facilities schools childcare libraries,ChIJDcJs9UEZ2jER4dKm3CUVyMk,OK,,5,Harbourfront Library
2026-07-20T16:06:05.198135,place_details_reviews,2,AIzaSy...8yB0,558,Western Islands,Jurong Island And Bukom,recreation,recreation sports gyms swimming community clubs,ChIJEwW7gpoP2jER4o0mrMTZddM,OK,,5,Jurong West Sport Centre
2026-07-20T16:06:05.812619,place_details_reviews,2,AIzaSy...8yB0,559,Western Islands,Sudong,transport,public transport MRT LRT bus stops,ChIJF_V_jo0Z2jER2RE6yEnu1Bc,OK,,5,Orchard Stn/Tang Plaza
2026-07-20T16:06:05.814689,place_details_reviews,2,AIzaSy...8yB0,559,Western Islands,Semakau,transport,public transport MRT LRT bus stops,ChIJHSFoU_ka2jER1hxgW5i82tQ,OK,,5,Kent Ridge Ter
2026-07-20T16:06:05.815750,place_details_reviews,2,AIzaSy...8yB0,559,Western Islands,Sudong,education,education facilities schools childcare libraries,ChIJKaGsJKUZ2jERxa8yhKrdPfI,OK,,5,National Library / Lee Kong Chian Reference Library
2026-07-20T16:06:06.389311,place_details_reviews,2,AIzaSy...8yB0,560,Western Islands,Jurong Island And Bukom,transport,public transport MRT LRT bus stops,ChIJL52pCg8Q2jERgiWsODe3X9I,OK,,5,Jurong East
2026-07-20T16:06:06.390181,place_details_reviews,2,AIzaSy...8yB0,560,Western Islands,Jurong Island And Bukom,nature,parks gardens nature waterfront park connectors,ChIJQ8uk4vwa2jERqMrT6OFBMuw,OK,,5,West Coast Park
2026-07-20T16:06:06.391040,place_details_reviews,2,AIzaSy...8yB0,560,Western Islands,Semakau,shopping,shopping groceries malls supermarkets markets,ChIJR1Fyfr0Z2jERzwO-AZiJ-HM,OK,,5,Plaza Singapura
2026-07-20T16:06:06.391902,place_details_reviews,2,AIzaSy...8yB0,560,Western Islands,Semakau,transport,public transport MRT LRT bus stops,ChIJS9TvdBQb2jER2r3tkPo3bj8,OK,,5,Dover MRT Station (EW22)
2026-07-20T16:06:06.392222,place_details_reviews,2,AIzaSy...8yB0,560,Western Islands,Semakau,nature,parks gardens nature waterfront park connectors,ChIJVSYjJKIZ2jERpRFinATD52s,OK,,5,Fort Canning Park
2026-07-20T16:06:07.311446,place_details_reviews,2,AIzaSy...8yB0,561,Western Islands,Jurong Island And Bukom,nature,parks gardens nature waterfront park connectors,ChIJWQLwKP0P2jER-AOMrDbkIW8,OK,,5,Jurong Lake Gardens
2026-07-20T16:06:08.128714,place_details_reviews,2,AIzaSy...8yB0,562,Western Islands,Jurong Island And Bukom,recreation,recreation sports gyms swimming community clubs,ChIJWaHnCyAQ2jERlnBesVA4gic,OK,,5,Jurong East Swimming Complex
2026-07-20T16:06:08.129520,place_details_reviews,2,AIzaSy...8yB0,562,Western Islands,Jurong Island And Bukom,shopping,shopping groceries malls supermarkets markets,ChIJa2nb2g0Q2jERlcUMLtMVyoI,OK,,5,IMM Building
2026-07-20T16:06:08.655099,place_details_reviews,2,AIzaSy...8yB0,563,Western Islands,Jurong Island And Bukom,shopping,shopping groceries malls supermarkets markets,ChIJa9YM2-wP2jERmOUStQKyiS0,OK,,5,Jurong Point
2026-07-20T16:06:08.658479,place_details_reviews,2,AIzaSy...8yB0,563,Western Islands,Jurong Island And Bukom,food,food dining hawker centres restaurants cafes,ChIJdZupgcsb2jERP1Byeb2I-24,OK,,5,Alexandra Village Food Centre
2026-07-20T16:06:08.661003,place_details_reviews,2,AIzaSy...8yB0,563,Western Islands,Jurong Island And Bukom,transport,public transport MRT LRT bus stops,ChIJi9J7UkUa2jEREUidaQaWpMU,OK,,5,One-North
2026-07-20T16:06:08.661676,place_details_reviews,2,AIzaSy...8yB0,563,Western Islands,Sudong,shopping,shopping groceries malls supermarkets markets,ChIJq8UGJo4a2jER0ypiQDLiXpg,OK,,5,The Clementi Mall
2026-07-20T16:06:08.662089,place_details_reviews,2,AIzaSy...8yB0,563,Western Islands,Jurong Island And Bukom,education,education facilities schools childcare libraries,ChIJraqq-gUQ2jERYpaqvOqNXdk,OK,,5,Jurong Library
2026-07-20T16:06:08.662472,place_details_reviews,2,AIzaSy...8yB0,563,Western Islands,Semakau,food,food dining hawker centres restaurants cafes,ChIJseQsTQ0Z2jERqpBTWF0Zf84,OK,,5,Maxwell Food Centre
2026-07-20T16:06:09.539814,place_details_reviews,2,AIzaSy...8yB0,564,Western Islands,Jurong Island And Bukom,food,food dining hawker centres restaurants cafes,ChIJyRcdyZMa2jERVyFlLiByOAw,OK,,5,Ayer Rajah Food Centre
