planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Western Islands,Jurong Island And Bukom,education,20,4.715,2310,94.3
Western Islands,Jurong Island And Bukom,transport,20,4.105,3350,82.1
Western Islands,Jurong Island And Bukom,food,20,4.035,48544,80.7
Western Islands,Jurong Island And Bukom,shopping,20,4.255,119034,85.1
Western Islands,Jurong Island And Bukom,recreation,20,4.32,13908,86.4
Western Islands,Jurong Island And Bukom,nature,20,4.405,32189,88.1
Western Islands,Semakau,education,20,4.632,1792,92.64
Western Islands,Semakau,transport,20,4.21,556,84.2
Western Islands,Semakau,food,20,4.2,151045,84.0
Western Islands,Semakau,shopping,20,4.24,112028,84.8
Western Islands,Semakau,recreation,20,4.345,12123,86.9
Western Islands,Semakau,nature,20,4.45,36345,89.0
Western Islands,Sudong,education,20,4.615,3661,92.3
Western Islands,Sudong,transport,20,4.23,311,84.6
Western Islands,Sudong,food,20,4.145,138889,82.9
Western Islands,Sudong,shopping,20,4.24,75459,84.8
Western Islands,Sudong,recreation,20,4.28,12298,85.6
Western Islands,Sudong,nature,20,4.44,35206,88.8
