planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Western Islands,Jurong Island And Bukom,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Jurong Island And Bukom, Western Islands, Singapore",ChIJF3XNQ5MP2jERXeUO2D_OtYY,Jurong West Library,"60 Jurong West Central 3, #01-03, Singapore 648346",4.3,269,"[""establishment"", ""library"", ""point_of_interest""]",1.3403486,103.7045246,True
Western Islands,Jurong Island And Bukom,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Jurong Island And Bukom, Western Islands, Singapore",ChIJraqq-gUQ2jERYpaqvOqNXdk,Jurong Library,"21 Jurong East Central 1, Singapore 609732",4.6,660,"[""establishment"", ""library"", ""point_of_interest""]",1.3327159,103.7395376,True
Western Islands,Jurong Island And Bukom,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Jurong Island And Bukom, Western Islands, Singapore",ChIJ86yLtKIP2jER865EKXuXEeA,Gifted Learners Student Care @ Jurong West Branch 1,"751 Jurong West Street 73, B1-175, Singapore 640751",4.4,8,"[""establishment"", ""point_of_interest""]",1.3476289,103.6991536,True
Western Islands,Jurong Island And Bukom,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Jurong Island And Bukom, Western Islands, Singapore",ChIJQ3u8icEP2jER84TmbfrAhss,Little Explorers Cove,"88 Boon Lay Pl, Hockey Village, Singapore 649883",5.0,3,"[""establishment"", ""point_of_interest""]",1.3477404,103.7115866,True
Western Islands,Jurong Island And Bukom,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Jurong Island And Bukom, Western Islands, Singapore",ChIJq6pqPLwP2jERWmBFHYkwxhI,"CNL Schoolhouse - Infant, Child and Student Care","5 Jurong West Street 74, Level 4, Singapore 649151",5.0,28,"[""establishment"", ""point_of_interest"", ""school""]",1.3495022,103.6989689,True
Western Islands,Jurong Island And Bukom,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Jurong Island And Bukom, Western Islands, Singapore",ChIJZ3B4xVYR2jERdQhLoumwiA8,in:genius Student Care @ Jurong Gateway,"135 Jurong Gateway Rd, #04-339, Singapore 600135",4.9,43,"[""establishment"", ""point_of_interest""]",1.3338103,103.7397212,True
Western Islands,Jurong Island And Bukom,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Jurong Island And Bukom, Western Islands, Singapore",ChIJHUK0FlIF2jERLcrbqLf1e-s,Raffles Kidz @ Jurong West (Yuan Ching) - Best Childcare and Preschool Singapore,"1 Yuan Ching Rd, #02-01/02, Singapore 618640",4.9,145,"[""establishment"", ""point_of_interest""]",1.3259983,103.7244048,True
Western Islands,Jurong Island And Bukom,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Jurong Island And Bukom, Western Islands, Singapore",ChIJTzf2QAMP2jERuAEgbaiI0NU,Raffles Kidz @ Jurong West (Surbana Jurong Campus) – Best Childcare Centre and Preschool,"38 Cleantech Loop, Tower 5, #01-02, Singapore 636741",5.0,11,"[""establishment"", ""point_of_interest""]",1.3530989,103.6914425,True
Western Islands,Jurong Island And Bukom,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Jurong Island And Bukom, Western Islands, Singapore",ChIJD8lpsd0P2jERbk2kKkwSPjU,First Love Student Care Centre,"470 Jurong West Street 41, Block 470, Singapore 640470",5.0,13,"[""establishment"", ""point_of_interest""]",1.348158,103.7210043,True
Western Islands,Jurong Island And Bukom,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Jurong Island And Bukom, Western Islands, Singapore",ChIJ6zAvwZkP2jER6DLjaI7x__E,KidsCampus Jurong West Childcare & Infant Care,"837 Jurong West Street 81, #01-75, Singapore 640837",5.0,19,"[""establishment"", ""point_of_interest""]",1.3434041,103.6930362,True
