timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-17T23:19:21.056507,text_search,2,AIzaSy...8yB0,345,Western Water Catchment,Bahar,education,kindergarten,"kindergarten in Bahar, Western Water Catchment, Singapore",OK,,20,
2026-07-17T23:19:22.162900,text_search,2,AIzaSy...8yB0,346,Western Water Catchment,Bahar,education,childcare centre,"childcare centre in Bahar, Western Water Catchment, Singapore",OK,,20,
2026-07-17T23:19:22.849544,text_search,2,AIzaSy...8yB0,347,Western Water Catchment,Bahar,education,primary school,"primary school in Bahar, Western Water Catchment, Singapore",OK,,20,
2026-07-17T23:19:23.685909,text_search,2,AIzaSy...8yB0,348,Western Water Catchment,Bahar,education,secondary school,"secondary school in Bahar, Western Water Catchment, Singapore",OK,,16,
2026-07-17T23:19:24.689181,text_search,2,AIzaSy...8yB0,349,Western Water Catchment,Bahar,education,junior college,"junior college in Bahar, Western Water Catchment, Singapore",OK,,16,
2026-07-17T23:19:25.548247,text_search,2,AIzaSy...8yB0,350,Western Water Catchment,Bahar,education,polytechnic,"polytechnic in Bahar, Western Water Catchment, Singapore",OK,,20,
2026-07-17T23:19:26.631052,text_search,2,AIzaSy...8yB0,351,Western Water Catchment,Bahar,education,university,"university in Bahar, Western Water Catchment, Singapore",OK,,20,
2026-07-17T23:19:27.339448,text_search,2,AIzaSy...8yB0,352,Western Water Catchment,Bahar,education,tuition centre,"tuition centre in Bahar, Western Water Catchment, Singapore",OK,,20,
2026-07-17T23:19:28.084564,text_search,2,AIzaSy...8yB0,353,Western Water Catchment,Bahar,education,library,"library in Bahar, Western Water Catchment, Singapore",OK,,18,
2026-07-17T23:19:28.676028,text_search,2,AIzaSy...8yB0,354,Western Water Catchment,Bahar,transport,MRT station,"MRT station in Bahar, Western Water Catchment, Singapore",OK,,2,
2026-07-17T23:19:29.484323,text_search,2,AIzaSy...8yB0,355,Western Water Catchment,Bahar,transport,bus stop,"bus stop in Bahar, Western Water Catchment, Singapore",OK,,20,
2026-07-17T23:19:30.209003,text_search,2,AIzaSy...8yB0,356,Western Water Catchment,Bahar,transport,bus interchange,"bus interchange in Bahar, Western Water Catchment, Singapore",OK,,4,
2026-07-17T23:19:31.231248,text_search,2,AIzaSy...8yB0,357,Western Water Catchment,Bahar,transport,LRT station,"LRT station in Bahar, Western Water Catchment, Singapore",OK,,20,
2026-07-17T23:19:32.114393,text_search,2,AIzaSy...8yB0,358,Western Water Catchment,Bahar,food,hawker centre,"hawker centre in Bahar, Western Water Catchment, Singapore",OK,,20,
2026-07-17T23:19:33.199783,text_search,2,AIzaSy...8yB0,359,Western Water Catchment,Bahar,food,food court,"food court in Bahar, Western Water Catchment, Singapore",OK,,14,
2026-07-17T23:19:34.258374,text_search,2,AIzaSy...8yB0,360,Western Water Catchment,Bahar,food,coffee shop,"coffee shop in Bahar, Western Water Catchment, Singapore",OK,,20,
2026-07-17T23:19:35.190596,text_search,2,AIzaSy...8yB0,361,Western Water Catchment,Bahar,food,restaurant,"restaurant in Bahar, Western Water Catchment, Singapore",OK,,3,
