planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Western Water Catchment,Bahar,education,18,4.257,3674,85.14
Western Water Catchment,Bahar,transport,5,4.125,133,82.5
Western Water Catchment,Bahar,food,7,4.086,5844,81.72
Western Water Catchment,Bahar,shopping,8,4.388,41876,87.76
Western Water Catchment,Bahar,recreation,12,4.364,9390,87.28
Western Water Catchment,Bahar,nature,11,4.32,13903,86.4
Western Water Catchment,Cleantech,education,18,4.442,3729,88.84
Western Water Catchment,Cleantech,transport,7,4.314,88,86.28
Western Water Catchment,Cleantech,food,9,4.044,3080,80.88
Western Water Catchment,Cleantech,shopping,9,4.178,19340,83.56
Western Water Catchment,Cleantech,recreation,12,4.55,5056,91.0
Western Water Catchment,Cleantech,nature,7,4.214,8357,84.28
Western Water Catchment,Murai,education,18,4.393,4239,87.86
Western Water Catchment,Murai,transport,8,4.25,197,85.0
Western Water Catchment,Murai,food,9,3.978,2988,79.56
Western Water Catchment,Murai,shopping,10,4.01,12931,80.2
Western Water Catchment,Murai,recreation,12,4.39,12764,87.8
Western Water Catchment,Murai,nature,12,4.418,17875,88.36
