planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Western Water Catchment,Bahar,education,kindergarten,"kindergarten in Bahar, Western Water Catchment, Singapore",ChIJA1n8HI4P2jERAzhzQjCnrdg,MOE Kindergarten @ Frontier,"20 Jurong West Street 61, Frontier Primary School, Singapore 648200",2.8,6,"[""establishment"", ""point_of_interest"", ""school""]",1.3372776,103.7000169,True
Western Water Catchment,Bahar,education,kindergarten,"kindergarten in Bahar, Western Water Catchment, Singapore",ChIJSQHt4fEP2jERpOJMKoC3OzY,MOE Kindergarten @ Jurong West,"Jurong West Street 62, Singapore 641601",3.7,3,"[""establishment"", ""point_of_interest"", ""school""]",1.339711,103.6994607,True
Western Water Catchment,Bahar,education,childcare centre,"childcare centre in Bahar, Western Water Catchment, Singapore",ChIJKVR9GNoP2jERvoPCL0Y2vsA,Nashwa Childcare Centre,"406 Jurong West Street 42, #01-591, Singapore 640406",4.5,2,"[""establishment"", ""point_of_interest""]",1.3543623,103.7220666,True
Western Water Catchment,Bahar,education,childcare centre,"childcare centre in Bahar, Western Water Catchment, Singapore",ChIJRbvYP7kP2jERhVAPotashOk,Little Kinder Montessori @ Westwood,"82 Westwood Cres, Singapore 648782",4.0,3,"[""establishment"", ""point_of_interest""]",1.3519712,103.7015426,True
Western Water Catchment,Bahar,education,primary school,"primary school in Bahar, Western Water Catchment, Singapore",ChIJzQs8Db4P2jERHjrNQ3yW6AI,Westwood Primary School,"1 Jurong West Street 73, Singapore 649188",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3472361,103.7004708,True
Western Water Catchment,Bahar,education,primary school,"primary school in Bahar, Western Water Catchment, Singapore",ChIJj7nvVZYP2jER-5waIpz9-Bc,West Grove Primary School,"1 Jurong West Street 72, Singapore 649223",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.344983,103.6992347,True
Western Water Catchment,Bahar,education,secondary school,"secondary school in Bahar, Western Water Catchment, Singapore",ChIJZS8GNJER2jERSd-ue7liC-Q,West Spring Secondary School,"61 Senja Rd, Singapore 677737",,0,"[""establishment"", ""point_of_interest"", ""school"", ""secondary_school""]",1.3877121,103.7600409,True
Western Water Catchment,Bahar,education,secondary school,"secondary school in Bahar, Western Water Catchment, Singapore",ChIJr1lusOsP2jERKAFcVUeYtEA,River Valley High School,"6 Boon Lay Ave, Singapore 649961",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.3438847,103.7095372,True
Western Water Catchment,Bahar,education,junior college,"junior college in Bahar, Western Water Catchment, Singapore",ChIJz_-CGpUR2jERsxAVVh_vnoY,Jurong Pioneer Junior College,"21 Teck Whye Walk, Singapore 688258",3.8,86,"[""establishment"", ""point_of_interest"", ""university""]",1.3847446,103.753857,True
Western Water Catchment,Bahar,education,junior college,"junior college in Bahar, Western Water Catchment, Singapore",ChIJ61lTU6EQ2jERiBDECMxHYFY,National Junior College,"37 Hillcrest Rd, Singapore 288913",4.4,182,"[""establishment"", ""point_of_interest"", ""school"", ""university""]",1.330476,103.8045,True
