planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Western Water Catchment,Bahar,education,kindergarten,ChIJA1n8HI4P2jERAzhzQjCnrdg,MOE Kindergarten @ Frontier,2.8,6,0,Citi3en Citi3en,https://www.google.com/maps/contrib/101233858509906403499/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocI30XZ9Q0UR4bRpIh_4YmCpUkz8F03jEhVf_9TpZBtPh1X4OQ=s128-c0x00000000-cc-rp-mo-ba3,1,7 months ago,1764307688,🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️
Western Water Catchment,Bahar,education,kindergarten,ChIJA1n8HI4P2jERAzhzQjCnrdg,MOE Kindergarten @ Frontier,2.8,6,1,Mum M,https://www.google.com/maps/contrib/117402193686765519191/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJ2NKfn8QKb5jALpzkudZ-vmUtCFW4G3VBF9-hNmc_T5jKzxg=s128-c0x00000000-cc-rp-mo,1,3 months ago,1776348466,"Queries were not always clearly addressed. There is significant room for improvement in creating a more inclusive and supportive environment for young learners, especially those with diverse learning profiles, in line with current educational priorities."
Western Water Catchment,Bahar,education,kindergarten,ChIJA1n8HI4P2jERAzhzQjCnrdg,MOE Kindergarten @ Frontier,2.8,6,2,Peter Ling,https://www.google.com/maps/contrib/117239507267965271068/reviews,,https://lh3.googleusercontent.com/a-/ALV-UjWPut2vaTy0h8YRoj1pxqV3SbGh7zdLlcexITo2Xw9uWQfif5Mc=s128-c0x00000000-cc-rp-mo-ba3,1,3 years ago,1673314709,
Western Water Catchment,Bahar,education,kindergarten,ChIJA1n8HI4P2jERAzhzQjCnrdg,MOE Kindergarten @ Frontier,2.8,6,3,Karen Teo,https://www.google.com/maps/contrib/106561777073681725316/reviews,,https://lh3.googleusercontent.com/a/ACg8ocItLmhd6uX_U2ZPOUR87vIBka8XkslP7epL-Zbw82W2myoVOw=s128-c0x00000000-cc-rp-mo,5,4 years ago,1656065056,
Western Water Catchment,Bahar,education,kindergarten,ChIJA1n8HI4P2jERAzhzQjCnrdg,MOE Kindergarten @ Frontier,2.8,6,4,md hasni,https://www.google.com/maps/contrib/116934424410934458323/reviews,,https://lh3.googleusercontent.com/a-/ALV-UjVpJAQgMGFC2cMaE8LSxBuBsZTAxnKh-h6zyASGMyQ7eiUIi745rw=s128-c0x00000000-cc-rp-mo-ba4,5,8 years ago,1520069284,
Western Water Catchment,Bahar,education,kindergarten,ChIJSQHt4fEP2jERpOJMKoC3OzY,MOE Kindergarten @ Jurong West,3.7,3,0,Emily Tan,https://www.google.com/maps/contrib/106648889487988010419/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjX5jAGpYoc_cCzfCcek7NqvPAErkam4N1IuIw-kkCxz0p0st5k=s128-c0x00000000-cc-rp-mo-ba3,5,6 months ago,1767772002,"Environment is excellent. Beginning of this year the Jurong west Moe kindergarten added a new fish pond with mini waterfall. Guppies live happily with baby guppies in the pond with lotus flowers plants. Teachers are good and supportive. Admin staff are efficient in doing their tasks too. Kids just need to attend kindergarten at ground floor, convenient. My gal is happy here for the past 1 year. Highly recommended."
Western Water Catchment,Bahar,education,kindergarten,ChIJSQHt4fEP2jERpOJMKoC3OzY,MOE Kindergarten @ Jurong West,3.7,3,1,Chin Guan Lim,https://www.google.com/maps/contrib/114803418879446529103/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIZcSf5OfOO3YNvYoz8pmKVMQXgSJMQVnfN0GfHRRMpl1lyQA=s128-c0x00000000-cc-rp-mo,1,3 years ago,1676539368,Mobile number is wrong but Google refused to change despite repeated attempts to get them to change
Western Water Catchment,Bahar,education,kindergarten,ChIJSQHt4fEP2jERpOJMKoC3OzY,MOE Kindergarten @ Jurong West,3.7,3,2,Wu Hui,https://www.google.com/maps/contrib/107788568314645690917/reviews,,https://lh3.googleusercontent.com/a/ACg8ocIF2M8yjdzrlfj7GoGqvnyKZXeyL06Hgkci2ay68GP2rNrQPg=s128-c0x00000000-cc-rp-mo,5,3 years ago,1661163860,
Western Water Catchment,Bahar,education,childcare centre,ChIJKVR9GNoP2jERvoPCL0Y2vsA,Nashwa Childcare Centre,4.5,2,0,Dawn,https://www.google.com/maps/contrib/107101897476917529085/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVA_sSTIsKessST7IL7vU3J7G5GkgPch8unOJQT9r3i8PcKf_A=s128-c0x00000000-cc-rp-mo-ba3,5,9 months ago,1759124503,"Good learning environment, polite kiddos. Teachers are professional. :-) Convenient location with mama shops, hair salon, pet groomer nearby, et cetera! Strollers and kid scooters are usually parked just outside the centre."
Western Water Catchment,Bahar,education,childcare centre,ChIJKVR9GNoP2jERvoPCL0Y2vsA,Nashwa Childcare Centre,4.5,2,1,H. Kim,https://www.google.com/maps/contrib/111991336900530727154/reviews,,https://lh3.googleusercontent.com/a-/ALV-UjWero_l1hnMIY-DT2kWxwBUcnlZAaKTXGTdy0hzLxgqpdM9f7j0=s128-c0x00000000-cc-rp-mo-ba2,4,7 years ago,1536649514,
