timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T16:06:12.751934,text_search,2,AIzaSy...8yB0,565,Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",OK,,20,
2026-07-20T16:06:15.308827,text_search,2,AIzaSy...8yB0,566,Woodlands,Greenwood Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Greenwood Park, Woodlands, Singapore",OK,,7,
2026-07-20T16:06:18.052507,text_search,2,AIzaSy...8yB0,567,Woodlands,Greenwood Park,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Greenwood Park, Woodlands, Singapore",OK,,20,
2026-07-20T16:06:20.904106,text_search,2,AIzaSy...8yB0,568,Woodlands,Greenwood Park,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Greenwood Park, Woodlands, Singapore",OK,,20,
2026-07-20T16:06:23.727546,text_search,2,AIzaSy...8yB0,569,Woodlands,Greenwood Park,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Greenwood Park, Woodlands, Singapore",OK,,20,
2026-07-20T16:06:26.575736,text_search,2,AIzaSy...8yB0,570,Woodlands,Greenwood Park,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Greenwood Park, Woodlands, Singapore",OK,,20,
2026-07-20T16:06:30.547438,text_search,2,AIzaSy...8yB0,571,Woodlands,Midview,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Midview, Woodlands, Singapore",OK,,20,
2026-07-20T16:06:33.601285,text_search,2,AIzaSy...8yB0,572,Woodlands,Midview,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Midview, Woodlands, Singapore",OK,,20,
2026-07-20T16:06:37.278383,text_search,2,AIzaSy...8yB0,573,Woodlands,Midview,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Midview, Woodlands, Singapore",OK,,20,
2026-07-20T16:06:41.968882,text_search,2,AIzaSy...8yB0,574,Woodlands,Midview,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Midview, Woodlands, Singapore",OK,,20,
2026-07-20T16:06:45.949678,text_search,2,AIzaSy...8yB0,575,Woodlands,Midview,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Midview, Woodlands, Singapore",OK,,20,
2026-07-20T16:06:49.808970,text_search,2,AIzaSy...8yB0,576,Woodlands,Midview,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Midview, Woodlands, Singapore",OK,,20,
2026-07-20T16:06:53.552979,text_search,2,AIzaSy...8yB0,577,Woodlands,North Coast,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near North Coast, Woodlands, Singapore",OK,,20,
2026-07-20T16:06:57.418706,text_search,2,AIzaSy...8yB0,578,Woodlands,North Coast,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near North Coast, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:01.329763,text_search,2,AIzaSy...8yB0,579,Woodlands,North Coast,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near North Coast, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:04.713467,text_search,2,AIzaSy...8yB0,580,Woodlands,North Coast,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near North Coast, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:08.823824,text_search,2,AIzaSy...8yB0,581,Woodlands,North Coast,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near North Coast, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:12.733141,text_search,2,AIzaSy...8yB0,582,Woodlands,North Coast,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near North Coast, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:16.483990,text_search,2,AIzaSy...8yB0,583,Woodlands,Senoko West,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Senoko West, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:20.218687,text_search,2,AIzaSy...8yB0,584,Woodlands,Senoko West,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Senoko West, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:24.178902,text_search,2,AIzaSy...8yB0,585,Woodlands,Senoko West,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Senoko West, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:28.032303,text_search,2,AIzaSy...8yB0,586,Woodlands,Senoko West,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Senoko West, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:31.455736,text_search,2,AIzaSy...8yB0,587,Woodlands,Senoko West,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Senoko West, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:34.790574,text_search,2,AIzaSy...8yB0,588,Woodlands,Senoko West,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Senoko West, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:38.272311,text_search,2,AIzaSy...8yB0,589,Woodlands,Woodgrove,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Woodgrove, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:39.868257,text_search,2,AIzaSy...8yB0,590,Woodlands,Woodgrove,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Woodgrove, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:41.951967,text_search,2,AIzaSy...8yB0,591,Woodlands,Woodgrove,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Woodgrove, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:45.401773,text_search,2,AIzaSy...8yB0,592,Woodlands,Woodgrove,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Woodgrove, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:47.959159,text_search,2,AIzaSy...8yB0,593,Woodlands,Woodgrove,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Woodgrove, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:50.057282,text_search,2,AIzaSy...8yB0,594,Woodlands,Woodgrove,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Woodgrove, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:52.070321,text_search,2,AIzaSy...8yB0,595,Woodlands,Woodlands East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Woodlands East, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:53.988490,text_search,2,AIzaSy...8yB0,596,Woodlands,Woodlands East,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Woodlands East, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:56.265662,text_search,2,AIzaSy...8yB0,597,Woodlands,Woodlands East,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Woodlands East, Woodlands, Singapore",OK,,20,
2026-07-20T16:07:58.511765,text_search,2,AIzaSy...8yB0,598,Woodlands,Woodlands East,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Woodlands East, Woodlands, Singapore",OK,,20,
2026-07-20T16:08:01.655680,text_search,2,AIzaSy...8yB0,599,Woodlands,Woodlands East,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Woodlands East, Woodlands, Singapore",OK,,20,
2026-07-20T16:08:04.540693,text_search,2,AIzaSy...8yB0,600,Woodlands,Woodlands East,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Woodlands East, Woodlands, Singapore",OK,,20,
2026-07-20T16:08:07.133642,text_search,2,AIzaSy...8yB0,601,Woodlands,Woodlands Regional Centre,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Woodlands Regional Centre, Woodlands, Singapore",OK,,20,
2026-07-20T16:08:09.884949,text_search,2,AIzaSy...8yB0,602,Woodlands,Woodlands Regional Centre,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Woodlands Regional Centre, Woodlands, Singapore",OK,,20,
