planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Woodlands,Greenwood Park,education,10,4.6,1,1,0,0,1,0,0,0,2,0,0,0,"13/03/2025 fun day in Woodlands Mindchamp for pyjamas day 25/06/2025 Chinese cultural day @ Mindchamp Woodlands Traditional art and craft done by the Champs in school 4/11/25 curri... || Had a wonderful CNY celebration organised by MindChamps. Performance and games. We loves it. || Enrolled my eldest daughter last year & I can see the change in her. Looking forward for my second born to start her class next month! Thank you for providing the love, care and ed...",0,0,1,0,2,0
Woodlands,Greenwood Park,transport,10,3.9,1,0,1,3,3,0,0,0,6,0,0,0,"I alighted at this bus interchange (the newer one as opposed to the older ""Temporary"" one) getting off Bus number 961 from Hillview where I live. I arrived here to visit Causeway P... || The bus driver seemed half asleep; he was driving incredibly slowly. A bus is meant to get people to their destination quickly, not to make them late! This is terrible! Does he not... || so much space, which is good. my only complaint is the main passenger alighting area .. where it can be quite a distance to walk all the way towards the direction of the MRT Statio...",1,-2,3,0,6,0
Woodlands,Greenwood Park,food,10,4.7,1,0,0,1,1,0,0,0,0,0,1,0,"7 Feb 2026 2pm Unexpected detour that we met this halal gem. Delicious food n good vibes. Chicken salad is tender n seasoned well. Mash potato on point. Pasta with right amount of ... || I was very happy with my experience here. I was shocked to see so much reviews for this restaurant,but when the food arrived, I understood why the review was so high. The food was ... || The generous portions here really stood out to me. Even the House Salad came with a really huge grilled chicken thigh. Tried the Thai Green Curry Seafood Pasta which was packed wit...",1,-1,1,0,0,1
Woodlands,Greenwood Park,shopping,10,4.7,0,0,0,4,1,0,0,0,3,0,0,0,"My first visit to this authentic korean BBQ resturant to celebrate Mother's Day on 02 May 2026 in advance.The ambience is cozy and the Manager Mdm Marie is approachable and patient... || A very beautiful mall in the west side.mall is within mrt station.many foods to eat:fast foods,snacks, kopitiam food court, shopping here is also good.there r many shops here such ... || Had a really pleasant dining experience at 店小二. The food was delicious, well-seasoned, and served in generous portions. Every dish tasted fresh and flavorful. The staff were friend...",0,-4,1,0,3,0
Woodlands,Greenwood Park,recreation,10,4.0,0,0,0,1,0,0,1,0,2,1,0,0,"The system to book is so damn bad - it got stuck at the payment system. Called up the cc and the staff also laughed, saying that they are facing the same issue. Please get the webs... || The location is very hard to get to if you're from other parts of Singapore, but if you're from the area, you'd probably say it's convenient given how close it is to Causeway Point... || Community club with comprehensive fasciitis and amenities. Famous for great CC Indian Classical Dance Group. Walking distance to Woodlands MRT station and bus interchange. Plenty o...",0,-1,0,1,1,0
Woodlands,Greenwood Park,nature,10,4.8,13,0,1,3,1,0,0,0,0,0,0,0,"Woodlands Waterfront Park is a relaxing and scenic park located in the northern part of Singapore. It faces the Straits of Johor, so visitors can actually see Malaysia across the w... || This seaside park has an interesting history. The jetty, which is the centerpiece of the park, was a mooring location for the Malayan/Malaysian Navy when Singapore was still within... || It's a beautiful place we can see Singapore and Malaysia at that same time. When I went it's full rainy and I took photoshoot there. We want to spend peace area I will suggest The ...",13,-2,1,0,0,0
Woodlands,Midview,education,10,4.6,1,1,0,0,1,0,0,0,2,0,0,0,"I visited Playfacto Woods Square last year and met Ms Celine and Ms Wind. I love how cosy the centre feels and how amicable the ladies were. I placed my boy in for adhoc care. On h... || I recently had the pleasure of visiting this beautiful center managed by a friendly and cheerful family. From the moment I arrived, I was greeted with warm smiles and a genuine sen... || Had a very pleasant experience at the PlayFacto Open House @ Woodsquare this morning. Ms Celine and her team of teachers have been very welcoming and shared comprehensively on the ...",0,0,1,0,2,0
Woodlands,Midview,transport,10,3.9,1,0,1,3,3,0,0,0,6,0,0,0,"I alighted at this bus interchange (the newer one as opposed to the older ""Temporary"" one) getting off Bus number 961 from Hillview where I live. I arrived here to visit Causeway P... || The bus driver seemed half asleep; he was driving incredibly slowly. A bus is meant to get people to their destination quickly, not to make them late! This is terrible! Does he not... || so much space, which is good. my only complaint is the main passenger alighting area .. where it can be quite a distance to walk all the way towards the direction of the MRT Statio...",1,-2,3,0,6,0
Woodlands,Midview,food,10,4.8,1,3,0,5,1,0,0,0,0,0,2,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-5,1,0,0,2
Woodlands,Midview,shopping,10,4.8,2,0,4,4,6,0,0,0,0,0,0,0,"My first visit to this authentic korean BBQ resturant to celebrate Mother's Day on 02 May 2026 in advance.The ambience is cozy and the Manager Mdm Marie is approachable and patient... || A very beautiful mall in the west side.mall is within mrt station.many foods to eat:fast foods,snacks, kopitiam food court, shopping here is also good.there r many shops here such ... || Had a really pleasant dining experience at 店小二. The food was delicious, well-seasoned, and served in generous portions. Every dish tasted fresh and flavorful. The staff were friend...",2,0,6,0,0,0
Woodlands,Midview,recreation,10,4.0,0,0,0,1,0,0,1,0,2,1,0,0,"The system to book is so damn bad - it got stuck at the payment system. Called up the cc and the staff also laughed, saying that they are facing the same issue. Please get the webs... || The location is very hard to get to if you're from other parts of Singapore, but if you're from the area, you'd probably say it's convenient given how close it is to Causeway Point... || Community club with comprehensive fasciitis and amenities. Famous for great CC Indian Classical Dance Group. Walking distance to Woodlands MRT station and bus interchange. Plenty o...",0,-1,0,1,1,0
Woodlands,Midview,nature,10,4.8,13,0,1,3,1,0,0,0,0,0,0,0,"Woodlands Waterfront Park is a relaxing and scenic park located in the northern part of Singapore. It faces the Straits of Johor, so visitors can actually see Malaysia across the w... || This seaside park has an interesting history. The jetty, which is the centerpiece of the park, was a mooring location for the Malayan/Malaysian Navy when Singapore was still within... || It's a beautiful place we can see Singapore and Malaysia at that same time. When I went it's full rainy and I took photoshoot there. We want to spend peace area I will suggest The ...",13,-2,1,0,0,0
