planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJh-bVYOgT2jERnSDkw1F-WjM,PlayFACTO School @ Woods Square | Student Care Woodlands,"8 Woodlands Square, Solo 2, #04-25 Woods Square, Singapore 737713",5.0,122,"[""establishment"", ""point_of_interest""]",1.4353,103.7855651,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJqVqJA6YT2jERen84koMFzGM,Woodlands Library,"900 S Woodlands Dr, #01-03 Civic Centre, Singapore 730900",4.3,488,"[""establishment"", ""library"", ""point_of_interest""]",1.4349053,103.78678,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJobTwLtYT2jEReaOD8oW5WKY,PlayFACTO School @ Woodlands | Student Care Woodlands,"11 Woodlands Cl, #01-45 WOODLANDS 11, Singapore 737853",4.9,100,"[""establishment"", ""point_of_interest""]",1.4343653,103.8024411,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJnx0PcgAT2jERW0Uky-mGUY8,Learning Vision Woodlands Hospital,"17 Woodlands Dr 17, Woodlands Hospital, Singapore 737628",5.0,4,"[""establishment"", ""point_of_interest"", ""school""]",1.4260639,103.7918631,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJ2yYTAqYT2jERQIdqR57msew,Kinderland Preschool @ Woodlands Civic Centre,"900 S Woodlands Dr, #05-03, Singapore 730900",4.9,67,"[""establishment"", ""point_of_interest"", ""school""]",1.4352111,103.7867619,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJeb9em6QT2jER0vza_ZzJ_AE,Learning Adventure Preschool @ Woodlands,"11 Woodlands Cl, #01-29/30/31, Singapore 737853",4.0,4,"[""establishment"", ""point_of_interest"", ""school""]",1.4343653,103.8024411,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJ3WIH4yIT2jERTFkY1JHa3s4,Bucket House Preschool (Woodlands Close),"39 Woodlands Cl, #01-62 MEGA@Woodlands, Singapore 737856",4.8,35,"[""establishment"", ""point_of_interest"", ""school""]",1.4381208,103.8063192,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJQ1Ru5RIT2jER0QXOi2kTwE4,New Life Student Care (Woodlands),"90 Woodlands Drive 16, Singapore 737878",4.8,11,"[""establishment"", ""point_of_interest""]",1.430117,103.794288,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJq6rqGpwT2jERePDrfhfSsIU,Mulberry Learning Centre @ Woodlands,"21 Woodlands Cl, #01-01/02/17, Singapore 737854",4.4,20,"[""establishment"", ""point_of_interest"", ""school""]",1.4351582,103.8050142,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJIbifRP8S2jERvJBeNx9mys8,The Word Learning Centre,"900 South Woodlands Drive #06-02 Woodlands Civic Centre, Singapore 730900",5.0,28,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school"", ""university""]",1.4350468,103.7867371,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJx3H1yp4T2jERgQL-IJf8PZU,Star Learners @ Woodlands | Preschool & Childcare,"11 Woodlands Cl, #01-22/23, Singapore 737853",4.9,40,"[""establishment"", ""point_of_interest"", ""school""]",1.4338461,103.8020933,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJp9LYBXYT2jERGRxWdbU_NQE,Big Heart Student Care@Greenwood,"11 Woodlands Drive 62, Singapore 737942",5.0,1,"[""establishment"", ""point_of_interest""]",1.4397028,103.8049819,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJnfdOSa4T2jERBdJEjpQVTU8,Dedicated Student Care Centre (Main Centre),"Block 351 Woodlands Ave 1, #01-721, Singapore 730351",4.8,61,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.4324312,103.7841036,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJx5pGCqET2jERaS-ERuYP3pE,Little Stars Academy - Student Care & Tuition Centre in Woodlands,"899A Woodlands Drive 50, #01-250, Singapore 730899",4.5,16,"[""establishment"", ""point_of_interest""]",1.4357624,103.7952307,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJ-cN6jKUT2jERuFVMQ_VeP1c,Bumble Bee Child Care Centre,"369 Woodlands Ave 1, #01-853, Singapore 730369",4.9,36,"[""establishment"", ""point_of_interest"", ""school""]",1.4333479,103.78754,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJf5_pqVIS2jERAkF9nM8cvqk,Little Muslim Readers (Woodlands),"11 Woodlands Cl, Singapore 737853",5.0,1,"[""establishment"", ""point_of_interest""]",1.4343653,103.8024411,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJJUAgPOMT2jEROShgDrUpR1I,Bright Sparks Infant Care,"Blk 851 Woodlands Street 83, #01-18, Singapore 730851",5.0,19,"[""establishment"", ""point_of_interest""]",1.4404214,103.7923306,True
Woodlands,Greenwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Greenwood Park, Woodlands, Singapore",ChIJq8qJFlMS2jERcA_cDPH31q8,Little Green House @ Woodlands,"161 Woodlands Street 13, #01-633, Singapore 730161",4.9,14,"[""establishment"", ""point_of_interest"", ""school""]",1.4333848,103.7738486,True
