timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T16:09:07.450340,text_search,2,AIzaSy...8yB0,628,Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",OK,,20,
2026-07-20T16:09:10.708360,text_search,2,AIzaSy...8yB0,629,Yishun,Khatib,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Khatib, Yishun, Singapore",OK,,20,
2026-07-20T16:09:13.932604,text_search,2,AIzaSy...8yB0,630,Yishun,Khatib,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Khatib, Yishun, Singapore",OK,,20,
2026-07-20T16:09:17.577343,text_search,2,AIzaSy...8yB0,631,Yishun,Khatib,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Khatib, Yishun, Singapore",OK,,20,
2026-07-20T16:09:21.093752,text_search,2,AIzaSy...8yB0,632,Yishun,Khatib,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Khatib, Yishun, Singapore",OK,,20,
2026-07-20T16:09:24.324020,text_search,2,AIzaSy...8yB0,633,Yishun,Khatib,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Khatib, Yishun, Singapore",OK,,15,
2026-07-20T16:09:27.331243,text_search,2,AIzaSy...8yB0,634,Yishun,Lower Seletar,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lower Seletar, Yishun, Singapore",OK,,20,
2026-07-20T16:09:30.299248,text_search,2,AIzaSy...8yB0,635,Yishun,Lower Seletar,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Lower Seletar, Yishun, Singapore",OK,,20,
2026-07-20T16:09:33.028019,text_search,2,AIzaSy...8yB0,636,Yishun,Lower Seletar,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Lower Seletar, Yishun, Singapore",OK,,20,
2026-07-20T16:09:35.612746,text_search,2,AIzaSy...8yB0,637,Yishun,Lower Seletar,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Lower Seletar, Yishun, Singapore",OK,,20,
2026-07-20T16:09:38.144730,text_search,2,AIzaSy...8yB0,638,Yishun,Lower Seletar,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Lower Seletar, Yishun, Singapore",OK,,20,
2026-07-20T16:09:41.256371,text_search,2,AIzaSy...8yB0,639,Yishun,Lower Seletar,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Lower Seletar, Yishun, Singapore",OK,,20,
2026-07-20T16:09:44.181606,text_search,2,AIzaSy...8yB0,640,Yishun,Nee Soon,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Nee Soon, Yishun, Singapore",OK,,20,
2026-07-20T16:09:46.849263,text_search,2,AIzaSy...8yB0,641,Yishun,Nee Soon,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Nee Soon, Yishun, Singapore",OK,,20,
2026-07-20T16:09:49.915758,text_search,2,AIzaSy...8yB0,642,Yishun,Nee Soon,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Nee Soon, Yishun, Singapore",OK,,20,
2026-07-20T16:09:52.944663,text_search,2,AIzaSy...8yB0,643,Yishun,Nee Soon,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Nee Soon, Yishun, Singapore",OK,,20,
2026-07-20T16:09:56.090778,text_search,2,AIzaSy...8yB0,644,Yishun,Nee Soon,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Nee Soon, Yishun, Singapore",OK,,20,
2026-07-20T16:09:58.778988,text_search,2,AIzaSy...8yB0,645,Yishun,Nee Soon,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Nee Soon, Yishun, Singapore",OK,,20,
2026-07-20T16:10:01.866661,text_search,2,AIzaSy...8yB0,646,Yishun,Northland,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Northland, Yishun, Singapore",OK,,20,
2026-07-20T16:10:04.354443,text_search,2,AIzaSy...8yB0,647,Yishun,Northland,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Northland, Yishun, Singapore",OK,,20,
2026-07-20T16:10:06.831420,text_search,2,AIzaSy...8yB0,648,Yishun,Northland,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Northland, Yishun, Singapore",OK,,20,
2026-07-20T16:10:09.745123,text_search,2,AIzaSy...8yB0,649,Yishun,Northland,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Northland, Yishun, Singapore",OK,,20,
2026-07-20T16:10:13.986721,text_search,2,AIzaSy...8yB0,650,Yishun,Northland,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Northland, Yishun, Singapore",OK,,20,
2026-07-20T16:10:17.255783,text_search,2,AIzaSy...8yB0,651,Yishun,Northland,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Northland, Yishun, Singapore",OK,,16,
2026-07-20T16:10:20.284442,text_search,2,AIzaSy...8yB0,652,Yishun,Springleaf,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Springleaf, Yishun, Singapore",OK,,20,
2026-07-20T16:10:22.974663,text_search,2,AIzaSy...8yB0,653,Yishun,Springleaf,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Springleaf, Yishun, Singapore",OK,,14,
2026-07-20T16:10:25.964162,text_search,2,AIzaSy...8yB0,654,Yishun,Springleaf,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Springleaf, Yishun, Singapore",OK,,20,
2026-07-20T16:10:29.406931,text_search,2,AIzaSy...8yB0,655,Yishun,Springleaf,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Springleaf, Yishun, Singapore",OK,,20,
2026-07-20T16:10:32.722798,text_search,2,AIzaSy...8yB0,656,Yishun,Springleaf,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Springleaf, Yishun, Singapore",OK,,20,
2026-07-20T16:10:35.869317,text_search,2,AIzaSy...8yB0,657,Yishun,Springleaf,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Springleaf, Yishun, Singapore",OK,,3,
2026-07-20T16:10:39.326769,text_search,2,AIzaSy...8yB0,658,Yishun,Yishun Central,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Yishun Central, Yishun, Singapore",OK,,20,
2026-07-20T16:10:42.604245,text_search,2,AIzaSy...8yB0,659,Yishun,Yishun Central,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Yishun Central, Yishun, Singapore",OK,,20,
2026-07-20T16:10:45.692064,text_search,2,AIzaSy...8yB0,660,Yishun,Yishun Central,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Yishun Central, Yishun, Singapore",OK,,20,
2026-07-20T16:10:49.071269,text_search,2,AIzaSy...8yB0,661,Yishun,Yishun Central,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Yishun Central, Yishun, Singapore",OK,,20,
2026-07-20T16:10:53.185766,text_search,2,AIzaSy...8yB0,662,Yishun,Yishun Central,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Yishun Central, Yishun, Singapore",OK,,20,
2026-07-20T16:10:56.848281,text_search,2,AIzaSy...8yB0,663,Yishun,Yishun Central,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Yishun Central, Yishun, Singapore",OK,,20,
2026-07-20T16:11:00.579667,text_search,2,AIzaSy...8yB0,664,Yishun,Yishun East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Yishun East, Yishun, Singapore",OK,,20,
2026-07-20T16:11:04.154779,text_search,2,AIzaSy...8yB0,665,Yishun,Yishun East,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Yishun East, Yishun, Singapore",OK,,20,
2026-07-20T16:11:07.217223,text_search,2,AIzaSy...8yB0,666,Yishun,Yishun East,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Yishun East, Yishun, Singapore",OK,,20,
2026-07-20T16:11:09.978483,text_search,2,AIzaSy...8yB0,667,Yishun,Yishun East,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Yishun East, Yishun, Singapore",OK,,20,
2026-07-20T16:11:13.313033,text_search,2,AIzaSy...8yB0,668,Yishun,Yishun East,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Yishun East, Yishun, Singapore",OK,,20,
2026-07-20T16:11:16.098014,text_search,2,AIzaSy...8yB0,669,Yishun,Yishun East,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Yishun East, Yishun, Singapore",OK,,20,
2026-07-20T16:11:19.229479,text_search,2,AIzaSy...8yB0,670,Yishun,Yishun South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Yishun South, Yishun, Singapore",OK,,20,
2026-07-20T16:11:22.274973,text_search,2,AIzaSy...8yB0,671,Yishun,Yishun South,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Yishun South, Yishun, Singapore",OK,,20,
2026-07-20T16:11:24.856546,text_search,2,AIzaSy...8yB0,672,Yishun,Yishun South,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Yishun South, Yishun, Singapore",OK,,20,
2026-07-20T16:11:27.691482,text_search,2,AIzaSy...8yB0,673,Yishun,Yishun South,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Yishun South, Yishun, Singapore",OK,,20,
2026-07-20T16:11:31.322860,text_search,2,AIzaSy...8yB0,674,Yishun,Yishun South,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Yishun South, Yishun, Singapore",OK,,20,
2026-07-20T16:11:34.488513,text_search,2,AIzaSy...8yB0,675,Yishun,Yishun South,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Yishun South, Yishun, Singapore",OK,,13,
2026-07-20T16:11:37.853010,text_search,2,AIzaSy...8yB0,676,Yishun,Yishun West,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Yishun West, Yishun, Singapore",OK,,20,
2026-07-20T16:11:40.494476,text_search,2,AIzaSy...8yB0,677,Yishun,Yishun West,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Yishun West, Yishun, Singapore",OK,,20,
2026-07-20T16:11:43.935064,text_search,2,AIzaSy...8yB0,678,Yishun,Yishun West,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Yishun West, Yishun, Singapore",OK,,9,
2026-07-20T16:11:46.655835,text_search,2,AIzaSy...8yB0,679,Yishun,Yishun West,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Yishun West, Yishun, Singapore",OK,,20,
2026-07-20T16:11:50.124371,text_search,2,AIzaSy...8yB0,680,Yishun,Yishun West,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Yishun West, Yishun, Singapore",OK,,20,
2026-07-20T16:11:53.041034,text_search,2,AIzaSy...8yB0,681,Yishun,Yishun West,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Yishun West, Yishun, Singapore",OK,,20,
2026-07-20T16:11:54.082467,place_details_reviews,2,AIzaSy...8yB0,682,Yishun,Springleaf,transport,public transport MRT LRT bus stops,ChIJ50aywSsR2jERTO5bXvV_qcg,OK,,5,Springleaf MRT Station (TE4)
2026-07-20T16:11:54.083018,place_details_reviews,2,AIzaSy...8yB0,682,Yishun,Springleaf,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,OK,,5,Lau Pa Sat
2026-07-20T16:11:54.914033,place_details_reviews,2,AIzaSy...8yB0,683,Yishun,Khatib,recreation,recreation sports gyms swimming community clubs,ChIJ88DU6lIV2jERZxGYeFZIn60,OK,,5,Adventure HQ
2026-07-20T16:11:54.914688,place_details_reviews,2,AIzaSy...8yB0,683,Yishun,Khatib,shopping,shopping groceries malls supermarkets markets,ChIJ9RT-5DYV2jERKbQXNwU4m6A,OK,,5,Northpoint City
2026-07-20T16:11:54.915481,place_details_reviews,2,AIzaSy...8yB0,683,Yishun,Nee Soon,nature,parks gardens nature waterfront park connectors,ChIJBVVBo_EV2jER-jKR3Hy6qUk,OK,,5,Punggol Waterway Park
2026-07-20T16:11:55.515720,place_details_reviews,2,AIzaSy...8yB0,684,Yishun,Khatib,education,education facilities schools childcare libraries,ChIJBacVCGMU2jERaAbVrqntPzU,OK,,5,Yishun Library
2026-07-20T16:11:55.517637,place_details_reviews,2,AIzaSy...8yB0,684,Yishun,Nee Soon,recreation,recreation sports gyms swimming community clubs,ChIJCy5VTKMV2jERcEdrN9vyBM4,OK,,5,HomeTeamNS Khatib
2026-07-20T16:11:56.248569,place_details_reviews,2,AIzaSy...8yB0,685,Yishun,Khatib,education,education facilities schools childcare libraries,ChIJDU-WNWsU2jERgEZzmT49Xhg,OK,,5,Little Seeds Preschool (Praiseland)
2026-07-20T16:11:57.090958,place_details_reviews,2,AIzaSy...8yB0,686,Yishun,Yishun Central,nature,parks gardens nature waterfront park connectors,ChIJD_tH7GIU2jERYpWt_zq8Adw,OK,,5,Yishun Neighbourhood Park
2026-07-20T16:11:57.091438,place_details_reviews,2,AIzaSy...8yB0,686,Yishun,Khatib,food,food dining hawker centres restaurants cafes,ChIJEcljAGoU2jERqtf7wNTnNlg,OK,,5,Yishun Park Hawker Centre
2026-07-20T16:11:57.713408,place_details_reviews,2,AIzaSy...8yB0,687,Yishun,Springleaf,nature,parks gardens nature waterfront park connectors,ChIJH6JsiVUR2jERcH6ybOVyhbs,OK,,5,Springleaf Nature Park
2026-07-20T16:11:57.714270,place_details_reviews,2,AIzaSy...8yB0,687,Yishun,Yishun East,nature,parks gardens nature waterfront park connectors,ChIJIdel7DsW2jERWep5ioblaeg,OK,,5,Punggol Park
2026-07-20T16:11:58.364052,place_details_reviews,2,AIzaSy...8yB0,688,Yishun,Yishun Central,education,education facilities schools childcare libraries,ChIJLdXlAmkU2jERzZBAkXS_JOI,OK,,5,Small Wonder @ Yishun (Adora Green)
2026-07-20T16:11:58.998172,place_details_reviews,2,AIzaSy...8yB0,689,Yishun,Yishun West,education,education facilities schools childcare libraries,ChIJQVFEk3EU2jERN4QhQojeupw,OK,,5,Happy Hearts Learning Centre (Student Care - Yishun Branch)
