planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Yishun,Khatib,education,20,4.54,1131,90.8
Yishun,Khatib,transport,20,4.04,4057,80.8
Yishun,Khatib,food,20,4.105,30968,82.1
Yishun,Khatib,shopping,20,4.085,74001,81.7
Yishun,Khatib,recreation,20,4.45,19063,89.0
Yishun,Khatib,nature,15,4.407,12287,88.14
Yishun,Lower Seletar,education,20,4.647,1139,92.94
Yishun,Lower Seletar,transport,20,4.39,5509,87.8
Yishun,Lower Seletar,food,20,4.21,46771,84.2
Yishun,Lower Seletar,shopping,20,4.22,109605,84.4
Yishun,Lower Seletar,recreation,20,4.325,17507,86.5
Yishun,Lower Seletar,nature,20,4.395,13357,87.9
Yishun,Nee Soon,education,20,4.789,935,95.78
Yishun,Nee Soon,transport,20,4.085,3690,81.7
Yishun,Nee Soon,food,20,4.19,38040,83.8
Yishun,Nee Soon,shopping,20,4.215,107404,84.3
Yishun,Nee Soon,recreation,20,4.365,9899,87.3
Yishun,Nee Soon,nature,20,4.435,17907,88.7
Yishun,Northland,education,20,4.6,951,92.0
Yishun,Northland,transport,20,3.85,2708,77.0
Yishun,Northland,food,20,4.23,42697,84.6
Yishun,Northland,shopping,20,4.125,80166,82.5
Yishun,Northland,recreation,20,4.205,11894,84.1
Yishun,Northland,nature,16,4.431,12368,88.62
Yishun,Springleaf,education,20,4.753,972,95.06
Yishun,Springleaf,transport,14,4.277,618,85.54
Yishun,Springleaf,food,20,4.2,139124,84.0
Yishun,Springleaf,shopping,20,4.085,52017,81.7
Yishun,Springleaf,recreation,20,4.33,9942,86.6
Yishun,Springleaf,nature,3,4.5,680,90.0
Yishun,Yishun Central,education,20,4.432,1327,88.64
Yishun,Yishun Central,transport,20,3.826,2359,76.52
Yishun,Yishun Central,food,20,4.2,32277,84.0
Yishun,Yishun Central,shopping,20,4.1,67617,82.0
Yishun,Yishun Central,recreation,20,4.22,18993,84.4
Yishun,Yishun Central,nature,20,4.421,5548,88.42
Yishun,Yishun East,education,20,4.805,2055,96.1
Yishun,Yishun East,transport,20,3.795,4044,75.9
Yishun,Yishun East,food,20,4.135,31400,82.7
Yishun,Yishun East,shopping,20,4.12,69074,82.4
Yishun,Yishun East,recreation,20,4.195,10164,83.9
Yishun,Yishun East,nature,20,4.415,20900,88.3
Yishun,Yishun South,education,20,4.689,906,93.78
Yishun,Yishun South,transport,20,3.965,4055,79.3
Yishun,Yishun South,food,20,4.068,30329,81.36
Yishun,Yishun South,shopping,20,4.12,80871,82.4
Yishun,Yishun South,recreation,20,4.375,19074,87.5
Yishun,Yishun South,nature,13,4.377,11731,87.54
Yishun,Yishun West,education,20,4.544,832,90.88
Yishun,Yishun West,transport,20,3.965,3703,79.3
Yishun,Yishun West,food,9,4.211,20411,84.22
Yishun,Yishun West,shopping,20,4.055,46603,81.1
Yishun,Yishun West,recreation,20,4.17,9996,83.4
Yishun,Yishun West,nature,20,4.411,9799,88.22
