planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Yishun,Khatib,education,10,4.7,1,2,1,1,3,0,1,0,0,0,0,0,"Yishun library is located at the 4th level of Yishun Northpoint City (North wing). A modern designed and cosy place, but is smaller size as compared to the other libraries being si... || Been coming here a lot. Love the place and the small reading nooks. It can get crowded with a lot of students but plenty of spaces you can find. I live that their collection of fic... || Yishun Library moved over to Northpoint lv 4 since ages ago from the Blk 290 near where POSB Yishun North branch is located. Been here multiple times, it’s clean and very cosy to b...",-1,0,3,1,0,0
Yishun,Khatib,transport,10,3.9,0,0,0,3,1,0,1,0,8,0,0,0,"Always the escalator is in maintenance during peak hour. Not sure what is the management thinking and most tourist coming to take the shuttle bus to zoo. Almost every month and mai... || Came here just because TEL thomson MRT will start operation at 8.30am on every Saturdays from 22 june to 4 july. My job starts at 7am , so i had to take bus 855 from opp khatib bus... || One of our earlier MRTs with a simple, grassroots vibe. And with a Giant of its own, which is a different vibe again from the ubiquitous NTUCs which seem to be taking over ever oth...",0,-3,1,1,8,0
Yishun,Khatib,food,10,4.4,0,0,0,3,3,0,0,0,0,0,0,0,"A good bowl of Lormee should have that thick, gooey yet smooth gravy and packed with flavour. Unfortunately, this Lormee at Yishun Park (早碗见面 Lor mee & Satay Beehoon) , gravy was d... || Family went there for lunch on a Saturday at around 1130H. It was not too crowded, and we managed to find a table without needing to wait. Parking was okay too. The hawker centre w... || I would like to introduce a delicious Pao Fan at Stall 01-35A if you are dining at Yishun Park Market, 51 Yishun Ave 11. Look for Chef Kelvin — he is very polite and courteous. The...",0,-3,3,0,0,0
Yishun,Khatib,shopping,10,4.6,0,0,0,4,3,0,0,1,4,0,0,0,"My first visit to this authentic korean BBQ resturant to celebrate Mother's Day on 02 May 2026 in advance.The ambience is cozy and the Manager Mdm Marie is approachable and patient... || A very beautiful mall in the west side.mall is within mrt station.many foods to eat:fast foods,snacks, kopitiam food court, shopping here is also good.there r many shops here such ... || Had a really pleasant dining experience at 店小二. The food was delicious, well-seasoned, and served in generous portions. Every dish tasted fresh and flavorful. The staff were friend...",0,-4,3,-1,4,0
Yishun,Khatib,recreation,10,4.8,0,0,0,1,1,0,0,0,4,0,1,0,"Hamqa Athena Khilfi were the perfect hosts for today. My kids had so so so much fun, and so did i! Will definitely come back, and hopefully it will be them facilitating us again!! || Adventure HQ is the biggest indoor obstacle course in Singapore and a very fun, engaging experience for both adults and kids. The staff are friendly, professional, and take safety ... || Had a fun time at Adventure HQ. Previously did something similar at Action Motion but i’d say that this has much more elements compared to Action Motion. Staffs were friendly and k...",0,-1,1,0,4,1
Yishun,Khatib,nature,10,4.9,16,1,1,2,3,0,0,0,0,0,0,0,"Lower Seletar Reservoir Park is such a peaceful and scenic spot in Singapore! 🌅 The waterfront views are beautiful, especially during sunrise and sunset, and the park is very well ... || 10/10, would absolutely paddle back for this again. 🌅🚣‍♂️ The sunrise kayak + breakfast tour was such a peaceful, feel-good start to the day. Ali and Shiva were fantastic, friendly... || The park is beautifully maintained, with a delightful variety of flowers that add color and charm to every corner. Each pathway feels inviting, filled with vibrant blooms and natur...",15,-1,3,0,0,0
Yishun,Lower Seletar,education,10,4.7,1,2,1,1,3,0,0,0,0,0,0,0,"Yishun library is located at the 4th level of Yishun Northpoint City (North wing). A modern designed and cosy place, but is smaller size as compared to the other libraries being si... || Been coming here a lot. Love the place and the small reading nooks. It can get crowded with a lot of students but plenty of spaces you can find. I live that their collection of fic... || Yishun Library moved over to Northpoint lv 4 since ages ago from the Blk 290 near where POSB Yishun North branch is located. Been here multiple times, it’s clean and very cosy to b...",-1,0,3,0,0,0
Yishun,Lower Seletar,transport,10,4.4,11,1,0,1,2,0,0,0,4,0,0,0,"Always the escalator is in maintenance during peak hour. Not sure what is the management thinking and most tourist coming to take the shuttle bus to zoo. Almost every month and mai... || Came here just because TEL thomson MRT will start operation at 8.30am on every Saturdays from 22 june to 4 july. My job starts at 7am , so i had to take bus 855 from opp khatib bus... || One of our earlier MRTs with a simple, grassroots vibe. And with a Giant of its own, which is a different vibe again from the ubiquitous NTUCs which seem to be taking over ever oth...",10,-1,2,0,4,0
Yishun,Lower Seletar,food,10,4.4,0,0,0,3,3,0,0,0,0,0,0,0,"A good bowl of Lormee should have that thick, gooey yet smooth gravy and packed with flavour. Unfortunately, this Lormee at Yishun Park (早碗见面 Lor mee & Satay Beehoon) , gravy was d... || Family went there for lunch on a Saturday at around 1130H. It was not too crowded, and we managed to find a table without needing to wait. Parking was okay too. The hawker centre w... || I would like to introduce a delicious Pao Fan at Stall 01-35A if you are dining at Yishun Park Market, 51 Yishun Ave 11. Look for Chef Kelvin — he is very polite and courteous. The...",0,-3,3,0,0,0
Yishun,Lower Seletar,shopping,10,4.7,0,0,0,3,1,0,0,0,3,0,0,1,"My first visit to this authentic korean BBQ resturant to celebrate Mother's Day on 02 May 2026 in advance.The ambience is cozy and the Manager Mdm Marie is approachable and patient... || A very beautiful mall in the west side.mall is within mrt station.many foods to eat:fast foods,snacks, kopitiam food court, shopping here is also good.there r many shops here such ... || Had a really pleasant dining experience at 店小二. The food was delicious, well-seasoned, and served in generous portions. Every dish tasted fresh and flavorful. The staff were friend...",0,-3,1,0,3,-1
