planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJcaOg62wU2jERB6GKt4ELsEA,Nee Soon Central Community Children's Library,"644 Yishun Street 61, Singapore 760644",5.0,1,"[""establishment"", ""library"", ""point_of_interest""]",1.4217439,103.8373836,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJFTq61RIU2jER1upHrJ0BO4g,Life Student Care@Yishun,"611 Yishun Street 61, Block 611, Singapore 760611",4.9,33,"[""establishment"", ""point_of_interest""]",1.4201927,103.8361602,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJvVsiOBIU2jER8xXrS4ezPMU,My Little Campus - MLC (Yishun),"849 Yishun Ring Rd, Singapore 760849",4.8,23,"[""establishment"", ""point_of_interest"", ""school""]",1.4169831,103.835415,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJ40sWMIQV2jERRtCGqkFhXtQ,Small Wonder Khatib,"Yishun Walk, #01-09 HomeTeamNS Khatib Clubhouse, Khatib, 2, Singapore 767944",4.8,48,"[""establishment"", ""point_of_interest"", ""school""]",1.4143332,103.8307227,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJBacVCGMU2jERaAbVrqntPzU,Yishun Library,"930 Yishun Ave 2 #04-01 North Wing Northpoint City, Singapore 769098",4.2,428,"[""establishment"", ""library"", ""point_of_interest""]",1.4293478,103.8358671,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJjWOK5H0V2jERooIYPCOXcsE,Kidz Education City (KEC),"2 Yishun Walk, #04-06 HomeTeamNS Khatib, Singapore 767944",4.9,78,"[""establishment"", ""point_of_interest""]",1.4145727,103.8306592,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJV26OLi4V2jERTT4N6jcw45w,Seedcare Student Care Centre,"731 Yishun Street 72, #01-23, Singapore 760731",5.0,2,"[""establishment"", ""point_of_interest""]",1.4283169,103.8310968,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJDU-WNWsU2jERgEZzmT49Xhg,Little Seeds Preschool (Praiseland),"662 Yishun Ave 4, #01-235, Singapore 760662",5.0,111,"[""establishment"", ""point_of_interest"", ""school""]",1.42042,103.8403837,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJccsu3WQV2jERJiX8RK44My0,PlayFACTO School @ Khatib,"2 Yishun Walk, #05-01 HomeTeamNS Khatib Clubhouse, Singapore 767944",4.8,71,"[""establishment"", ""point_of_interest""]",1.414489,103.8308964,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJQVFEk3EU2jERN4QhQojeupw,Happy Hearts Learning Centre (Student Care - Yishun Branch),"Blk 729 Yishun Street 71, #01-113, Singapore 760729",4.8,51,"[""establishment"", ""point_of_interest""]",1.4259435,103.8315436,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJTzoCOREU2jER6aGbQTjyOQQ,Little Footprints Preschool @ Yishun 865,"865 Yishun Street 81, #01-21 Khatib Crescent, Singapore 760865",4.9,75,"[""establishment"", ""point_of_interest"", ""school""]",1.4142606,103.8381444,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJ0-ZW6xEU2jERkuNbkfZVeFA,Little Green House @ Yishun,"832 Yishun Street 81, Block 832 Block 832, Singapore 760832",5.0,64,"[""establishment"", ""point_of_interest"", ""school""]",1.4146974,103.8346957,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJZaWBamkU2jERLpJ2ofrBaNc,Little Skool-House Yishun Community Hospital,"Yishun Community Hospital, 2 Yishun Central 2, Tower E, Level 5 Staff Lounge, Singapore 768024",1.0,1,"[""establishment"", ""point_of_interest"", ""school""]",1.4233146,103.8371523,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJ99bcopsU2jERwXTBKTzFgQ8,Heritage Academy @Khatib,"Block 846 Yishun Ring Rd, #03-3673, Singapore 760846",4.8,61,"[""establishment"", ""point_of_interest""]",1.4168022,103.8345766,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJG6sANJQV2jER972LApF7lKk,Bubbles Student Care,"261 Yishun Street 22, #01-131, S760261 760261",3.7,3,"[""establishment"", ""point_of_interest""]",1.4350669,103.8388764,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJxVPCr9wV2jERAcjmzYvnUL8,Apple Tree Playhouse,"1 North Point Dr, #02-201 Northpoint City, Singapore 768019",4.7,44,"[""establishment"", ""point_of_interest"", ""school""]",1.4281699,103.8361007,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJf2nNSWUV2jERqlWz72Ogvw4,T.E.A.M. Student Care @ Yishun,"60 Yishun Ave 4, #01-09, Singapore 769027",4.3,12,"[""establishment"", ""point_of_interest""]",1.4242354,103.8409184,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJFeKusVoV2jERQkaK_nGhaCM,Happy Learners Student Care & Tuition Centre,"1 Yishun Industrial Street 1, #03-11/12 A POSH Bizhub, Singapore 768160",5.0,11,"[""establishment"", ""point_of_interest""]",1.436958,103.8421412,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJMcLNL8MV2jERKnJMoizVji8,Sharing corner,"107 Yishun Ring Rd, Singapore 760107",5.0,1,"[""establishment"", ""library"", ""point_of_interest""]",1.4322182,103.8270996,True
Yishun,Khatib,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Khatib, Yishun, Singapore",ChIJ-0nV2hYU2jEReRfcgTLXhwk,My First Skool at Blk 509B Yishun,"Blk 509B Yishun Ave 4, #01-20, Singapore 763509",4.2,13,"[""establishment"", ""point_of_interest"", ""school""]",1.4138706,103.8400668,True
Yishun,Khatib,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Khatib, Yishun, Singapore",ChIJR07dbDAV2jERdQb8ogLIDzs,Khatib MRT Station (NS14),"201 Yishun Ave 2, Singapore 769092",4.4,1330,"[""establishment"", ""point_of_interest""]",1.4172783,103.8329928,True
Yishun,Khatib,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Khatib, Yishun, Singapore",ChIJrxLCiA0U2jER-R_D8ehBje4,Khatib,"Ave 2 outside Khatib Mrt Stn, Singapore",4.1,367,"[""establishment"", ""point_of_interest"", ""subway_station"", ""transit_station""]",1.4173483,103.8329731,True
Yishun,Khatib,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Khatib, Yishun, Singapore",ChIJdbrkeBIU2jERsQIAy-echaA,Khatib MRT Station (NS14) Exit A Pick Up Point,Singapore,4.3,13,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.41756,103.83324,True
Yishun,Khatib,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Khatib, Yishun, Singapore",ChIJ_9cGdRIU2jERA0f7RiuYr9Q,Opp Khatib Stn,Singapore,4.5,10,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.4169916,103.8333327,True
Yishun,Khatib,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Khatib, Yishun, Singapore",ChIJ9yCY-g0U2jERLQqELflx1EQ,Bef Khatib Stn,Singapore,4.9,8,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.4162534,103.8325881,True
Yishun,Khatib,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Khatib, Yishun, Singapore",ChIJz7xjD_0V2jERZ4a3JxtBf1k,Yishun Bus Interchange,"920 Yishun Ave 2, Singapore 769100",4.2,931,"[""establishment"", ""point_of_interest""]",1.4274554,103.8360015,True
Yishun,Khatib,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Khatib, Yishun, Singapore",ChIJXcZHjm8U2jERQaG5hp7SJ-I,Yishun Stn,"301 Yishun Ave 2, Singapore 769093",4.1,35,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.4293147,103.8351828,True
Yishun,Khatib,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Khatib, Yishun, Singapore",ChIJWY2KfA0U2jERcKdRlhqBtcs,Khatib Stn Exit D,Singapore,4.3,4,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.418493,103.832939,True
Yishun,Khatib,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Khatib, Yishun, Singapore",ChIJc6Z8jG8U2jERv8M81RFvr7Q,Yishun,Singapore,4.4,1179,"[""establishment"", ""point_of_interest"", ""subway_station"", ""transit_station""]",1.4294431,103.835005,True
Yishun,Khatib,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Khatib, Yishun, Singapore",ChIJYdfkYW8U2jERzA4NiwUkuOw,Yishun,"Yishun Ave 2, Singapore",3.7,81,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.4301606,103.8378779,True
