planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Yishun,Springleaf,transport,public transport MRT LRT bus stops,ChIJ50aywSsR2jERTO5bXvV_qcg,Springleaf MRT Station (TE4),4.6,479,0,Nicholas Tan,https://www.google.com/maps/contrib/108663508787369225308/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWZPlFTM5DRCzBcXnmf-NWnB7LuG8BKqwWs2-TQNVe8jRVyova7=s128-c0x00000000-cc-rp-mo-ba2,1,a month ago,1779373872,"Most dysfunctional MRT station.

The manager in charge of the station is extremely rude and enjoys locking up commuters’ bicycles parked for 48 hours with his personal bike lock.

The train arrival ETA screen doesn’t work half the time."
Yishun,Springleaf,transport,public transport MRT LRT bus stops,ChIJ50aywSsR2jERTO5bXvV_qcg,Springleaf MRT Station (TE4),4.6,479,1,diana Peh,https://www.google.com/maps/contrib/117437762687640413655/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKxW-sJGx11bB6jgsXiOFiSQpDlWuJdjPGaxNVdiXnu7GRibHc=s128-c0x00000000-cc-rp-mo-ba5,4,4 months ago,1773221104,Nearby HK or is Zhi chat restaurant (Wang Jiao) serve really nice wohei fried rice. Is super near to mrt. Served for private residents. Saw a famous prata shop too n recommended by frd but didn't get to try
Yishun,Springleaf,transport,public transport MRT LRT bus stops,ChIJ50aywSsR2jERTO5bXvV_qcg,Springleaf MRT Station (TE4),4.6,479,2,ShiokFoodFinds,https://www.google.com/maps/contrib/115275568546222938432/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjV5vt6-kgwfjqx30WbeHM2vJHLj8fCAJEpZC-LNrE3ONPkfGj0=s128-c0x00000000-cc-rp-mo-ba4,5,a month ago,1780562423,"Spring Leaf MRT station is clean, modern, and well-maintained, providing a convenient connection for residents in the northern part of Singapore. The station is spacious with clear signage, making it easy to navigate even during peak hours. Train services are generally smooth and efficient. The surrounding area is still developing, so amenities are somewhat limited compared to more established stations, but accessibility and connectivity are excellent. Overall, a welcome addition that makes commuting much more convenient for nearby residents."
Yishun,Springleaf,transport,public transport MRT LRT bus stops,ChIJ50aywSsR2jERTO5bXvV_qcg,Springleaf MRT Station (TE4),4.6,479,3,Kong Wen Sheng,https://www.google.com/maps/contrib/105513610287991060707/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVVNxDTAcm-bNflYzPqgThmmInF67eaURGHjwS4Njq38BPkr-Y=s128-c0x00000000-cc-rp-mo-ba8,5,2 months ago,1778601241,Opposite the Springleaf Prata place. Very near woodlands. And walkable to Khatib through the nearby park connector.
Yishun,Springleaf,transport,public transport MRT LRT bus stops,ChIJ50aywSsR2jERTO5bXvV_qcg,Springleaf MRT Station (TE4),4.6,479,4,Crystal Russom,https://www.google.com/maps/contrib/117216352132536940606/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUmt8raYUYNfmA5VEW8Jc_dyoa79SzQAVZlSfYUNNpc-7jg7xc=s128-c0x00000000-cc-rp-mo-ba5,5,4 months ago,1773066902,Nice clean station with wide accessible walkways much like all the other stations across Singapore. Loved the vending machine with the souvenir trains and buses available to purchase on the way to the exit for the zoo's.
Yishun,Springleaf,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,0,Madiha,https://www.google.com/maps/contrib/114242387135977753283/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIHCPM5GgKJCH7JgvWv5_MxW13ltPSTlow5LjKKBTnXZqmj6g=s128-c0x00000000-cc-rp-mo-ba5,3,a month ago,1779948931,"Decent spot for variety, but not for those craving familiar Pakistani flavours
Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with plenty of options and a nice atmosphere, especially in the evening when the streets are closed off for dining.
We tried the halal stall and ordered chicken rice noodles, chicken basil vegetables, and tea tree something. While the portions were generous and the service was quick, the overall taste was quite different from what we expected. Everything had a strong seafood-like flavour profile (even the non-seafood items), which didn’t really appeal to us as I can’t stand sea food smell. It felt quite far from Pakistani taste preferences – the spices, seasoning, and balance were very different.
If you’re in the mood to explore local Singaporean or Southeast Asian hawker food and try new things, Lau Pa Sat is a great place with lots of variety. However, if you’re particular about your food and want something closer to Pakistani cuisine, this might not be the best choice.
Cleanliness was just fine for a busy hawker centre, and the pricing was reasonable. Good for tourists or casual explorers, but we probably won’t rush back."
Yishun,Springleaf,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,1,Franco Migliorati,https://www.google.com/maps/contrib/100371330244756270290/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVkZnEeD-A71-8sTYTmOmEFkth5fm4r4G3NJjaT8fP8fl_T-hUoqw=s128-c0x00000000-cc-rp-mo-ba5,5,4 months ago,1772028535,"fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singaporean, etc. There's something for everyone. Good ventilation and plenty of tables but the place is always packed and noisy (it doesn't take away the enjoyment). A must to visit."
Yishun,Springleaf,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,2,Piotr Treter,https://www.google.com/maps/contrib/100672490460451924508/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJkJ1CdwVAoUWZNkGU0R51jueMxWq-vHoYNtIjkipXTuJWEGQ=s128-c0x00000000-cc-rp-mo-ba5,5,5 months ago,1770210422,"There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everything is perfectly seasoned, with plenty to choose from, so everyone should easily find something to their liking. And the prices are very affordable by Singaporean standards."
Yishun,Springleaf,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,3,Trang Nguyen,https://www.google.com/maps/contrib/111561150280467194373/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIHfsPshQW972d4yzKstFPDDgwG_sd38rfo75jAycL5Vg_tpOk=s128-c0x00000000-cc-rp-mo-ba4,5,3 months ago,1774788514,"Lau Pa Sat: A must-visit for the lively night vibe!

I visited at 9 PM on a Friday, and it was absolutely crowded! The energy outside on Satay Street was incredible, with everyone enjoying grilled food in the open air. Inside the historic building, there are plenty of food stalls to choose from.

The Drinks:
One thing to watch out for is that there are very few drink stalls, so the lines are very long. I bought an Iced Mango Peach ($2.80), but I wouldn't recommend it. It was extremely sweet and didn't contain any fresh fruit—it tasted mostly like syrup. I suggest skipping the ""juices"" here if you want something fresh.

The Food & Service:
I tried the Thunder Tea Rice ($6.20). It was okay, though it didn't quite fit my personal taste. After eating, the service is efficient; you can either clear your own tray or wait for the staff who come by frequently to collect them.

The Verdict:
It is very crowded and noisy with loud music, but it’s a ""must-visit"" to experience the local Singaporean vibe. Just be prepared for the crowds!"
Yishun,Springleaf,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,Lau Pa Sat,4.4,38467,4,herdarksecret,https://www.google.com/maps/contrib/103152694342316321576/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocL8Ep70MYF7RNmwysbNL0OHYX1-zaj0q1g6xVF2FEIRfrvVYg=s128-c0x00000000-cc-rp-mo-ba4,5,2 months ago,1777028043,"Tried Na Na Curry at Lau Pa Sat because saw that they are awarded Michelin Bib Gourmand 10 years in a row!

Their chicken curry is rich, slightly creamy, and super comforting. The spices are well-balanced, not too heavy but still very satisfying.

The chicken is tender and soaks up the curry nicely, making every bite flavourful. Pairs really well with both the rice and roti prata!"
Yishun,Khatib,recreation,recreation sports gyms swimming community clubs,ChIJ88DU6lIV2jERZxGYeFZIn60,Adventure HQ,4.9,9129,0,Christabel Tan,https://www.google.com/maps/contrib/117173716174699004077/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJQHHMtKEMElOgmo--cYK-DFA_rpIvF9mWV64Y7e2iD8EI2TA=s128-c0x00000000-cc-rp-mo,5,a month ago,1779879646,"Hamqa Athena Khilfi were the perfect hosts for today. My kids had so so so much fun, and so did i!
Will definitely come back, and hopefully it will be them facilitating us again!!"
Yishun,Khatib,recreation,recreation sports gyms swimming community clubs,ChIJ88DU6lIV2jERZxGYeFZIn60,Adventure HQ,4.9,9129,1,Mandy Wan,https://www.google.com/maps/contrib/105797983451799223545/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWjby5JbhVIiMIrKofTVDCMzv4ME1OVWG9z1R47ny3tVEeb_Yep=s128-c0x00000000-cc-rp-mo-ba5,5,3 months ago,1775371815,"Adventure HQ is the biggest indoor obstacle course in Singapore and a very fun, engaging experience for both adults and kids. The staff are friendly, professional, and take safety seriously, making the whole activity feel well-managed and reassuring. The obstacles provide a good level of challenge without being overwhelming, so it’s enjoyable for different fitness levels. It takes about 4 hours to complete all the activities, making it a great half-day adventure. Highly recommended to book in advance."
Yishun,Khatib,recreation,recreation sports gyms swimming community clubs,ChIJ88DU6lIV2jERZxGYeFZIn60,Adventure HQ,4.9,9129,2,Zahiyahhh Tojali,https://www.google.com/maps/contrib/101893480352978796011/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJcUhnF6Hjt3_86EBTOMLC_O-i3ozKQaI4mzSHu2YaY2ApJaA=s128-c0x00000000-cc-rp-mo,5,a month ago,1781418038,"Had a fun time at Adventure HQ. Previously did something similar at Action Motion but i’d say that this has much more elements compared to Action Motion.

Staffs were friendly and kind to assist my partner and I, as well as, the really largeee group. Hands down to all those that worked on 14/6/26 slot 10-2.30pm (specifically Athena, Khilfi, Auni, Syafiq). Also, thankful that we were able to proceed despite coming late.

Overall, enjoyed my time here. Personally for me, i’d rate the difficulty of these elements/course a 2/10. Experience definitely 10/10."
Yishun,Khatib,recreation,recreation sports gyms swimming community clubs,ChIJ88DU6lIV2jERZxGYeFZIn60,Adventure HQ,4.9,9129,3,Nicholas Pang,https://www.google.com/maps/contrib/117832505584055903188/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJIqLLJEf3jf1uyrSRT5BMfdjJc-sQIl1TL_qgc5HZrb4rsAQ=s128-c0x00000000-cc-rp-mo,4,a month ago,1780640042,"Thank you Adventure HQ! Had a fun bonding day with our football academy. Thank you Khilfi and Karl for your assistance throughout.

Just a feedback - may wish to tidy up your SOP in term of purchasing of tickets. Asked 4-5 different staff before we bought the tickets, and each of them gave a different answer. Also couldnt get any reply back on my queries via email.

Overall! Really good fun for the kids!"
