listing_id,source,source_listing_reference,title,asking_price,price_psf,address,property_type,bedrooms,bathrooms,floor_area_sqft,tenure,built_year,nearest_mrt_name,nearest_mrt_distance_m,listed_on_text,scraped_at,latitude,longitude,raw_listing_text
b14975053c17,PropertyGuru,500168439,R A R E available executive mansionette for sale!,890000,554.86,322A Jurong East Street 31,HDB Flat,3.0,3.0,1604,99-year Leasehold,1984.0,EW25 Chinese Garden MRT Station,890.0,"Jul 02, 2026 (2w ago)",2026-07-20T09:53:39.160222+00:00,,,"R A R E available executive mansionette for sale! S$ 890,000 S$ 554.86 psf 322A Jurong East Street 31 322A Jurong East Street 31 3 3 1,604 sqft HDB Flat 99-year Leasehold Built: 1984 11 min (890 m) from EW25 Chinese Garden MRT Station Listed on Jul 02, 2026 (2w ago) Contact Agent"
e74fd4f3039d,PropertyGuru,500116992,5 room HDB that can potentially have 5 bedrooms! Rare unit!,550000,390.35,722 Yishun Street 71,HDB Flat,3.0,2.0,1409,99-year Leasehold,1985.0,NS13 Yishun MRT Station,1080.0,"Jul 02, 2026 (2w ago)",2026-07-20T09:53:39.160373+00:00,,,"5 room HDB that can potentially have 5 bedrooms! Rare unit! S$ 550,000 S$ 390.35 psf 722 Yishun Street 71 722 Yishun Street 71 3 2 1,409 sqft HDB Flat 99-year Leasehold Built: 1985 13 min (1.08 km) from NS13 Yishun MRT Station Listed on Jul 02, 2026 (2w ago) Contact Agent"
37c7082913cd,PropertyGuru,500163292,Rare 5 room hdb with 4 bedrooms for sale,550000,391.18,722 Yishun Street 71,HDB Flat,4.0,2.0,1406,99-year Leasehold,1985.0,NS13 Yishun MRT Station,1080.0,"Jul 02, 2026 (2w ago)",2026-07-20T09:53:39.160446+00:00,,,"Rare 5 room hdb with 4 bedrooms for sale S$ 550,000 S$ 391.18 psf 722 Yishun Street 71 722 Yishun Street 71 4 2 1,406 sqft HDB Flat 99-year Leasehold Built: 1985 13 min (1.08 km) from NS13 Yishun MRT Station Listed on Jul 02, 2026 (2w ago) Contact Agent"
b596d7e32a89,PropertyGuru,500168135,"Fully renovated 5 yrs ago, timeless design, move in ready.",580000,518.32,146 Gangsa Road,HDB Flat,3.0,2.0,1119,99-year Leasehold,1988.0,BP7 Petir LRT Station,350.0,"Jul 02, 2026 (2w ago)",2026-07-20T09:53:39.160563+00:00,,,"Fully renovated 5 yrs ago, timeless design, move in ready. S$ 580,000 S$ 518.32 psf 146 Gangsa Road 146 Gangsa Road 3 2 1,119 sqft HDB Flat 99-year Leasehold Built: 1988 4 min (350 m) from BP7 Petir LRT Station Listed on Jul 02, 2026 (2w ago) Contact Agent"
7a0530c828da,PropertyGuru,500189701,"Rare And Massive 1,900 Sqft Home ! 5 Bedrooms",1249999,659.98,850 Woodlands Street 82,HDB Flat,5.0,2.0,1900,99-year Leasehold,1995.0,TE2 Woodlands MRT Station,890.0,"Jul 02, 2026 (2w ago)",2026-07-20T09:53:39.160685+00:00,,,"Rare And Massive 1,900 Sqft Home ! 5 Bedrooms S$ 1,249,999 S$ 659.98 psf 850 Woodlands Street 82 850 Woodlands Street 82 5 2 1,894 sqft HDB Flat 99-year Leasehold Built: 1995 11 min (890 m) from TE2 Woodlands MRT Station Listed on Jul 02, 2026 (2w ago) Contact Agent"
1a35a94b5886,PropertyGuru,500095315,"Walk To Markets, Eateries, Shops, Schools, Tampines Mart, N2, MRT",788000,585.87,304 Tampines Street 32,HDB Flat,4.0,2.0,1345,99-year Leasehold,1992.0,DT33 Tampines East MRT Station,570.0,"Jul 02, 2026 (2w ago)",2026-07-20T09:53:39.160808+00:00,,,"Walk To Markets, Eateries, Shops, Schools, Tampines Mart, N2, MRT S$ 788,000 S$ 585.87 psf 304 Tampines Street 32 304 Tampines Street 32 4 2 1,345 sqft HDB Flat 99-year Leasehold Built: 1992 7 min (570 m) from DT33 Tampines East MRT Station Listed on Jul 02, 2026 (2w ago) Contact Agent"
476a220ee30f,PropertyGuru,500186533,Super Rare 5 Room Lush Greenery Unblocked View Unit For Sale!,1050000,793.05,5 Farrer Road,HDB Flat,3.0,2.0,1324,99-year Leasehold,1974.0,CC20 Farrer Road MRT Station,110.0,"Jul 02, 2026 (2w ago)",2026-07-20T09:53:39.160913+00:00,,,"Super Rare 5 Room Lush Greenery Unblocked View Unit For Sale! S$ 1,050,000 S$ 793.05 psf 5 Farrer Road 5 Farrer Road 3 2 1,324 sqft HDB Flat 99-year Leasehold Built: 1974 1 min (110 m) from CC20 Farrer Road MRT Station Listed on Jul 02, 2026 (2w ago) Contact Agent"
19523dac1acf,PropertyGuru,500189473,Rare corner unit with excellent privacy and location for sale!,928000,770.12,255 Bishan Street 22,HDB Flat,3.0,2.0,1205,99-year Leasehold,1990.0,CR12 Teck Ghee MRT Station (U/C),380.0,"Jul 02, 2026 (2w ago)",2026-07-20T09:53:39.161028+00:00,,,"Rare corner unit with excellent privacy and location for sale! S$ 928,000 S$ 770.12 psf 255 Bishan Street 22 255 Bishan Street 22 3 2 1,205 sqft HDB Flat 99-year Leasehold Built: 1990 5 min (380 m) from CR12 Teck Ghee MRT Station (U/C) Listed on Jul 02, 2026 (2w ago) Contact Agent"
0ca58a8eac24,PropertyGuru,500163289,Rare 4A unblocked corner unit for sale.,720000,719.28,338C Anchorvale Crescent,HDB Flat,3.0,2.0,1001,99-year Leasehold,2017.0,SW2 Farmway LRT Station,430.0,"Jul 02, 2026 (2w ago)",2026-07-20T09:53:39.161140+00:00,,,"Rare 4A unblocked corner unit for sale. S$ 720,000 S$ 719.28 psf 338C Anchorvale Crescent 338C Anchorvale Crescent 3 2 1,001 sqft HDB Flat 99-year Leasehold Built: 2017 5 min (430 m) from SW2 Farmway LRT Station Listed on Jul 02, 2026 (2w ago) Contact Agent"
8449089531bc,PropertyGuru,500134383,5RM premium corner point block at Blk 316A Anchorvale Link for sale!,680000,574.32,316A Anchorvale Link,HDB Flat,3.0,2.0,1184,99-year Leasehold,2001.0,SW2 Farmway LRT Station,800.0,"Jul 02, 2026 (2w ago)",2026-07-20T09:53:39.161251+00:00,,,"5RM premium corner point block at Blk 316A Anchorvale Link for sale! S$ 680,000 S$ 574.32 psf 316A Anchorvale Link 316A Anchorvale Link 3 2 1,184 sqft HDB Flat 99-year Leasehold Built: 2001 10 min (800 m) from SW2 Farmway LRT Station Listed on Jul 02, 2026 (2w ago) Contact Agent"
