timestamp,api_type,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-16T13:12:04.375673,text_search,Clementi,Clementi Central,education,kindergarten,"kindergarten in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:05.187464,text_search,Clementi,Clementi Central,education,childcare centre,"childcare centre in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:06.054820,text_search,Clementi,Clementi Central,education,primary school,"primary school in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:06.765029,text_search,Clementi,Clementi Central,education,secondary school,"secondary school in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:07.957214,text_search,Clementi,Clementi Central,education,junior college,"junior college in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:08.924140,text_search,Clementi,Clementi Central,education,polytechnic,"polytechnic in Clementi Central, Clementi, Singapore",OK,,17,
2026-07-16T13:12:09.468912,text_search,Clementi,Clementi Central,education,university,"university in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:10.152066,text_search,Clementi,Clementi Central,education,tuition centre,"tuition centre in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:10.871910,text_search,Clementi,Clementi Central,education,library,"library in Clementi Central, Clementi, Singapore",OK,,1,
2026-07-16T13:12:11.802511,text_search,Clementi,Clementi Central,transport,MRT station,"MRT station in Clementi Central, Clementi, Singapore",OK,,5,
2026-07-16T13:12:12.740828,text_search,Clementi,Clementi Central,transport,bus stop,"bus stop in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:13.351590,text_search,Clementi,Clementi Central,transport,bus interchange,"bus interchange in Clementi Central, Clementi, Singapore",OK,,6,
2026-07-16T13:12:14.350714,text_search,Clementi,Clementi Central,transport,LRT station,"LRT station in Clementi Central, Clementi, Singapore",OK,,4,
2026-07-16T13:12:15.187457,text_search,Clementi,Clementi Central,food,hawker centre,"hawker centre in Clementi Central, Clementi, Singapore",OK,,4,
2026-07-16T13:12:15.884971,text_search,Clementi,Clementi Central,food,food court,"food court in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:16.556252,text_search,Clementi,Clementi Central,food,coffee shop,"coffee shop in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:17.785054,text_search,Clementi,Clementi Central,food,restaurant,"restaurant in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:18.636093,text_search,Clementi,Clementi Central,food,cafe,"cafe in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:19.647032,text_search,Clementi,Clementi Central,shopping,shopping mall,"shopping mall in Clementi Central, Clementi, Singapore",OK,,4,
2026-07-16T13:12:20.501935,text_search,Clementi,Clementi Central,shopping,supermarket,"supermarket in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:21.143976,text_search,Clementi,Clementi Central,shopping,grocery store,"grocery store in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:21.888797,text_search,Clementi,Clementi Central,shopping,convenience store,"convenience store in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:22.735070,text_search,Clementi,Clementi Central,shopping,wet market,"wet market in Clementi Central, Clementi, Singapore",OK,,4,
2026-07-16T13:12:23.714284,text_search,Clementi,Clementi Central,recreation,gym,"gym in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:24.713687,text_search,Clementi,Clementi Central,recreation,sports centre,"sports centre in Clementi Central, Clementi, Singapore",OK,,6,
2026-07-16T13:12:25.300833,text_search,Clementi,Clementi Central,recreation,swimming complex,"swimming complex in Clementi Central, Clementi, Singapore",OK,,1,
2026-07-16T13:12:26.202206,text_search,Clementi,Clementi Central,recreation,cinema,"cinema in Clementi Central, Clementi, Singapore",OK,,5,
2026-07-16T13:12:27.071510,text_search,Clementi,Clementi Central,recreation,community club,"community club in Clementi Central, Clementi, Singapore",OK,,3,
2026-07-16T13:12:28.087935,text_search,Clementi,Clementi Central,recreation,playground,"playground in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:28.675974,text_search,Clementi,Clementi Central,nature,park,"park in Clementi Central, Clementi, Singapore",OK,,18,
2026-07-16T13:12:29.804076,text_search,Clementi,Clementi Central,nature,nature reserve,"nature reserve in Clementi Central, Clementi, Singapore",OK,,17,
2026-07-16T13:12:31.059522,text_search,Clementi,Clementi Central,nature,garden,"garden in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:32.002340,text_search,Clementi,Clementi Central,nature,beach,"beach in Clementi Central, Clementi, Singapore",OK,,20,
2026-07-16T13:12:32.793548,text_search,Clementi,Clementi Central,nature,waterfront,"waterfront in Clementi Central, Clementi, Singapore",OK,,12,
2026-07-16T13:12:33.712691,text_search,Clementi,Clementi Central,nature,park connector,"park connector in Clementi Central, Clementi, Singapore",OK,,5,
2026-07-16T13:12:34.826475,text_search,Clementi,Clementi North,education,kindergarten,"kindergarten in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:35.578140,text_search,Clementi,Clementi North,education,childcare centre,"childcare centre in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:36.416166,text_search,Clementi,Clementi North,education,primary school,"primary school in Clementi North, Clementi, Singapore",OK,,7,
2026-07-16T13:12:37.573396,text_search,Clementi,Clementi North,education,secondary school,"secondary school in Clementi North, Clementi, Singapore",OK,,13,
2026-07-16T13:12:38.212810,text_search,Clementi,Clementi North,education,junior college,"junior college in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:38.921274,text_search,Clementi,Clementi North,education,polytechnic,"polytechnic in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:39.650953,text_search,Clementi,Clementi North,education,university,"university in Clementi North, Clementi, Singapore",OK,,10,
2026-07-16T13:12:40.305163,text_search,Clementi,Clementi North,education,tuition centre,"tuition centre in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:41.066822,text_search,Clementi,Clementi North,education,library,"library in Clementi North, Clementi, Singapore",OK,,1,
2026-07-16T13:12:41.679948,text_search,Clementi,Clementi North,transport,MRT station,"MRT station in Clementi North, Clementi, Singapore",OK,,5,
2026-07-16T13:12:42.567947,text_search,Clementi,Clementi North,transport,bus stop,"bus stop in Clementi North, Clementi, Singapore",OK,,20,
2026-07-16T13:12:43.245910,text_search,Clementi,Clementi North,transport,bus interchange,"bus interchange in Clementi North, Clementi, Singapore",OK,,7,
2026-07-16T13:12:43.965082,text_search,Clementi,Clementi North,transport,LRT station,"LRT station in Clementi North, Clementi, Singapore",OK,,6,
