planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Clementi,Clementi Central,education,kindergarten,"kindergarten in Clementi Central, Clementi, Singapore",ChIJ_31s5Y4a2jERTj7-Vwmg9f4,HATCH by TOUCH Preschools@Clementi 333,"333 Clementi Ave 2, #01-86, Singapore 120333",4.8,22,"[""establishment"", ""point_of_interest"", ""school""]",1.3151787,103.7676675,True
Clementi,Clementi Central,education,kindergarten,"kindergarten in Clementi Central, Clementi, Singapore",ChIJv9msmZka2jERfSSohCAPsV8,Clementi Woods Kindergarten,"152 W Coast Rd, Singapore 127370",4.7,10,"[""establishment"", ""point_of_interest"", ""school""]",1.30275,103.765838,True
Clementi,Clementi Central,education,childcare centre,"childcare centre in Clementi Central, Clementi, Singapore",ChIJQ_ullaob2jERM_eDWJztr4g,MindChamps MindSpace @ Clementi Central | After School Student Care for P1-P5 | MindChamps Enrichment & PSLE for P1-P6,"451 Clementi Ave 3, #02-309, Singapore 120451",4.9,91,"[""establishment"", ""point_of_interest""]",1.3126424,103.7656225,True
Clementi,Clementi Central,education,primary school,"primary school in Clementi Central, Clementi, Singapore",ChIJgzPSLZAa2jERfE9_WhsbuJU,Clementi Primary School,"8 Clementi Ave 3, Singapore 129903",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3153018,103.7632831,True
Clementi,Clementi Central,education,primary school,"primary school in Clementi Central, Clementi, Singapore",ChIJPYcisoQa2jERNFMXy8mgssw,Pei Tong Primary School,"15 Clementi Ave 5, Singapore 129857",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3161197,103.7675906,True
Clementi,Clementi Central,education,secondary school,"secondary school in Clementi Central, Clementi, Singapore",ChIJQZgPTpAa2jER9P9PQ1O8K48,Clementi Town Secondary School,"10 Clementi Ave 3, Singapore 129904",,0,"[""establishment"", ""point_of_interest"", ""school"", ""secondary_school""]",1.3154596,103.7622755,True
Clementi,Clementi Central,education,secondary school,"secondary school in Clementi Central, Clementi, Singapore",ChIJHZaFrPQa2jER3PP0AhzvhCU,Nan Hua High School,"41 Clementi Ave 1, Singapore 129956",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.3084132,103.7689985,True
Clementi,Clementi Central,education,junior college,"junior college in Clementi Central, Clementi, Singapore",ChIJq8UGJo4a2jER0ypiQDLiXpg,The Clementi Mall,"3155 Commonwealth Ave W, Singapore 129588",4.1,10697,"[""establishment"", ""point_of_interest"", ""shopping_mall""]",1.314918,103.7643089,True
Clementi,Clementi Central,education,junior college,"junior college in Clementi Central, Clementi, Singapore",ChIJq6qq2oUa2jERdIXhE3knPCM,Clementi Community Centre,"220 Clementi Ave 4, Singapore 129880",4.2,917,"[""establishment"", ""point_of_interest""]",1.3189456,103.7680816,True
Clementi,Clementi Central,education,polytechnic,"polytechnic in Clementi Central, Clementi, Singapore",ChIJWeO0jn0Q2jERQwzr3v_n0nU,Ngee Ann Polytechnic,"535 Clementi Rd, Singapore 599489",4.3,498,"[""establishment"", ""point_of_interest""]",1.3315798,103.7747134,True
