planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Clementi,Clementi Central,education,kindergarten,ChIJ_31s5Y4a2jERTj7-Vwmg9f4,HATCH by TOUCH Preschools@Clementi 333,4.8,22,0,Phoebe phoebe,https://www.google.com/maps/contrib/115328789811157989630/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLtnzMeF_wsxo6vfFnJvg9LrSDVvhDf2krGVVmK7UDVf0L1fA=s128-c0x00000000-cc-rp-mo,5,6 months ago,1768296297,"Ms Jae is a truly wonderful childcare teacher. She is caring, gentle, and deeply dedicated to her work. My child has been at the centre since 18 months old and is now 6 years old. Ms Jae previously left childcare and later rejoined, and we are extremely grateful to have her back. She consistently shows genuine care and patience, and it gives us great comfort knowing our child is in such kind and capable hands."
Clementi,Clementi Central,education,kindergarten,ChIJ_31s5Y4a2jERTj7-Vwmg9f4,HATCH by TOUCH Preschools@Clementi 333,4.8,22,1,Wee Tien ong,https://www.google.com/maps/contrib/108904218719830082713/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXWTVzCbaPArWHfjDj9gfBJwZJ0KJkUJYRLipVv2Db4YIIIi3U=s128-c0x00000000-cc-rp-mo,5,a year ago,1748620970,"I am writing this review to express my heartfelt appreciation for the outstanding work being done at Touch ChildCare - Clementi. As a parent, it brings me immense peace of mind to know that my child is in such a caring, supportive, and enriching environment every day.

I would like to especially acknowledge the dedication and leadership - Ms Adeline Yip- Principal, consistently demonstrate. Her commitment to maintaining high standards of care and education is clearly reflected in the positive atmosphere of the center and in the joyful, engaged faces of the children.

Additionally, I would like to extend a sincere thank you to Ms Jenny and for Ye 老师 for their remarkable efforts in the classroom. Their patience, creativity, and genuine affection for my girl do not go unnoticed. It is evident that they take great pride in their role, and it shows in the way the children learn, grow, and feel safe and loved under their guidance.

Would like to express my gratitude to them for creating a nurturing space where children are not only looked after but are also encouraged to flourish. The impact of their hard work is deeply appreciated and truly valued."
Clementi,Clementi Central,education,kindergarten,ChIJ_31s5Y4a2jERTj7-Vwmg9f4,HATCH by TOUCH Preschools@Clementi 333,4.8,22,2,Kayla Tan,https://www.google.com/maps/contrib/113578026179566930537/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXu37OnZUJ3CVoFgLFGz2k9rlSf_4HDUzap0HlxLEcwPX0sDg2L=s128-c0x00000000-cc-rp-mo-ba2,5,a year ago,1737561751,"We are very happy to enrol our firstborn at TOUCH Clementi. Everyone in the centre is so friendly and welcoming to all children, making it a loving and conducive environment for the kids to learn and grow.

My child has learnt so much since starting school; we were constantly surprised by his learning development! We are very thankful to the staff and teachers and would definitely recommend this centre to others."
Clementi,Clementi Central,education,kindergarten,ChIJ_31s5Y4a2jERTj7-Vwmg9f4,HATCH by TOUCH Preschools@Clementi 333,4.8,22,3,Jeslin Ha,https://www.google.com/maps/contrib/109782111679479631437/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKioGg2xQkGG2NgtrGCFe0SLT_RbpWiUxBoz98oegyt1zNe5w=s128-c0x00000000-cc-rp-mo,5,2 years ago,1703119494,"Always ensure safe and clean environment at the centre is I admired the most when I am quite particular with certain level of cleanliness and I admired the most is they only on air con when necessary as my kids have sinusitis condition; Very caring, patient, friendly, responsible and experience teachers and principle! Both my daughter and son like to go childcare everyday. There is no issue with me during the transition period from nanny to childcare at their 2 years old. My husband and I have a peace of mind when we knowing that our kids are in good hands when we are at work! The centre has engaged fun and exciting curriculum to cater child’s development and practice their motor skills which I signed up for all the courses for my kids. They love it very much! Grateful that we found touch childcare, the best choice and most suitable childcare for both of my kids in many ways! Good job to all teaching and non teaching staff! Highly recommended!"
Clementi,Clementi Central,education,kindergarten,ChIJ_31s5Y4a2jERTj7-Vwmg9f4,HATCH by TOUCH Preschools@Clementi 333,4.8,22,4,zing ling,https://www.google.com/maps/contrib/106165941070472563028/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJJpm1uYwHZUExCvWldEoiVR9RAKRmE-9Gm57WW8QcdRqu_Jg=s128-c0x00000000-cc-rp-mo,5,a year ago,1736737961,"**What we like about TCC (Clementi):
- Environment: very good number of teacher-students ratio. They have aircons but not for turning on the whole time. We really don't like places turn on aircon all the time, my kids seldom catch a cold if compare when they in previous childcare. Even without aircons, the design and fan system make the place really cool & airy.

- Food: At first when my kids join TCC, food is catering. Now in childcare, there are 2 aunties cooking & preparing daily meals for kids.

- Teachers (including principal): friendly, supportive & easy to communicate. They all received feedbacks and take it as the points to consider for the general better.

- Curriculum design: A lot in the characters & values-which we believed that most important to kids. A lot of hands on activities
and outing is design to meet the teaching focus. I love most is every morning, my kids have chance to go out for 1 hour walk which expose them to knows our neighbourhood and expose to sunlight, which very hard for us who are working parents to bring them out in everyday morning.

- Communication: There is an app for parents-teachers to communicate with. Teachers also updates on children progress bi-weekly.

- Most of all: TCC takes in special needs kids with mild symtoms, which creates a wonderful environment for kids to learn how to love & share.

Again, we very appreciate your hard work of all staffs at TCC Clementi. I can see my kids grow in TCC. Thank you 💕"
Clementi,Clementi Central,education,kindergarten,ChIJv9msmZka2jERfSSohCAPsV8,Clementi Woods Kindergarten,4.7,10,0,Simon Goh,https://www.google.com/maps/contrib/104656189010712116841/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLpzM3gSoinCouawJsxm5NNLY6uQzOmIc5ucIq2fNxU41I40A=s128-c0x00000000-cc-rp-mo,5,8 months ago,1761027963,"Our family has been part of the Clementi Woods Kindergarten (CWK) community for several years, and we couldn’t be more grateful for the experience.

From day one, CWK has felt like a second home — a place where our child has been cared for and encouraged.  Every child is welcomed by name, from the morning greetings at the gate to the cheerful assembly and into the classroom. It’s something that truly touched us — knowing that not just our child, but every student is known personally by the staff.

The teachers, many of whom have been with the school for over a decade, bring not only experience but a deep love for what they do. They take time to understand each child, helping them grow in confidence, independence, and character.

What sets CWK apart is its strong foundation in faith and values. The principles of love, care, sharing, giving, and growing aren’t just taught — they’re lived out daily in the classroom and playground. The admin team, led by the principal, is warm, responsive, and always open to feedback. We’ve felt heard and supported every step of the way.

One of our child’s favourite parts of the day has been the morning assembly — filled with praise and worship songs, laughter, and energy. It’s a joyful start that sets the tone for learning and connection.

CWK may not have all the bells and whistles of a commercial preschool, but it offers something far more valuable: a safe, consistent, and faith grounded environment where children thrive.

We’re so thankful for the strong foundation it’s given our child — and for the community we’ve found here."
Clementi,Clementi Central,education,kindergarten,ChIJv9msmZka2jERfSSohCAPsV8,Clementi Woods Kindergarten,4.7,10,1,Veron Sim,https://www.google.com/maps/contrib/108992279722800747474/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJbbWCrDs7nTZaXmiHrW_YwEyaPI_417WDYEMuYUXWogDUWtg=s128-c0x00000000-cc-rp-mo-ba2,2,9 months ago,1759262357,"A fairly good kindergarten with kind and helpful staff. The admin team is really good and accommodating.

However, the start of each day at CWK is overstimulating for a preschooler as loud music will be blasted at assembly - I supposed the school wants to hype up the entire atmosphere for kids but a more calming start might be an easier transition for kids.

Some teaching staff have been around for more than 15 years so some of their methods, though well-intentioned, might be less attuned to the needs of current generation of kids and borders on being disempowering for children who need a little more support. There is a lot of focus on traditional teaching methods like worksheets and less hands-on activities that promotes experiential learning and creative thinking.

School bus driver is a little eccentric and would pick a bone with parents who enter the school compound earlier (understandably, cars can only enter at 2.20pm due to limited space available) - even if permission has been sought to enter the school (happened to me twice, and I’ve witnessed this happen to other parents several times too).

I will recommend this school for a faith-based environment, super nice/easy to work with admin team (principal, admin, etc). However, if you’re looking for teachers who are nurturing, patient, supportive, and updated in their teaching methods, it might be less than desirable. The school is big on conformity and very unsupportive of independent thinking.

We have switched our child from this school to another school and found that we really prefer a quieter/ calming start to the day and we find it more empowering for our preschooler to be in the company of teachers who understand the need for hands-on learning, are patient and more nurturing. We find our child now more confident and less scared to express her views in class. It’s regretful that our child did not have a positive experience with her teachers at CWK as she often talks about her fear of being scolded. This has a lasting impact on her that we are still trying to work on how. It’s very regretful and one of the poorest choices I have made.

This is a personal and honest view from my end, with due respect given to the school and their staff. Written with the sole intent for other parents to understand the environment before they dive in as quite a lot of energy, time and money will be involved if you choose to enrol in any school of your choice."
Clementi,Clementi Central,education,kindergarten,ChIJv9msmZka2jERfSSohCAPsV8,Clementi Woods Kindergarten,4.7,10,2,Alvin Quah,https://www.google.com/maps/contrib/117766417318468985509/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXZpZ62WC7gKIUz4SJpXrocQT8wlzw0Rxd6-n5DYg0HD7e1obhn=s128-c0x00000000-cc-rp-mo-ba6,5,8 months ago,1762238945,"This is the best kindergarten you can send your child to. All my four children attend this kindergarten.

It is not expensive. They have a holistic program that expose your child to various subjects.

They teach your children life skills , math and also Chinese and handicraft.

The Chinese teacher speaks to your child only in mandarin, which helps stem learn the language.

The children love going to school and it gives them such a good impression of school, starting them on the right track to  learning.

If you are interested in sending your child here, you need to queue up early to register because it is extremely popular.

Furthermore, the uniform looks great  😃"
Clementi,Clementi Central,education,kindergarten,ChIJv9msmZka2jERfSSohCAPsV8,Clementi Woods Kindergarten,4.7,10,3,Chris Sham,https://www.google.com/maps/contrib/115721221552510915457/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocI_T5AY7NRJxYVajw4AJq7ldPH_NYYpsHJDKJvMqjnYG5pXMQ=s128-c0x00000000-cc-rp-mo-ba3,5,a year ago,1736295664,"I am so grateful for what CWK has done for my kids. They acquired discipline, maintained healthy habits and happiness, while excelled academically. The teachers are loving and supportive. I can't ask for more."
Clementi,Clementi Central,education,kindergarten,ChIJv9msmZka2jERfSSohCAPsV8,Clementi Woods Kindergarten,4.7,10,4,M Tan,https://www.google.com/maps/contrib/100479030698065884915/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJRf_sfWJGkfOQ-ElWAfN_DG9_2cQMxeswBLNk8Ppvr-svxyw=s128-c0x00000000-cc-rp-mo-ba4,5,5 months ago,1770487592,"The pastoral aspect is very good. During HBL, we appreciated the effort to create engaging in-house videos and worksheets/ workbooks.

Edited:
As many private kindergartens no longer operate because of the changing landscape and costing, I hope to express our family's gratitude. CWK has taught my child self-discipline, a desire to do one's best and to behave with integrity. Not that it really matters, but of the 6 children who went into her primary school, 4 are in the stretch classes.

For us, it was not so much the quantity of content but the nurturing of the character that made the difference. Reflective learning , being metacognitive, has made her purposeful.

My child is proud to say she was a CWK kid and 5 years after K2, she tells me she wishes she could re-live her Kindy years."
